OF0520RP                              2.00.00.059    MOF\OF05                      06/11/19  14:28:37
BTB920AA                              2.00.00.012    of0520rp                      06/11/19  14:28:37
UT-TRFRRP                             2.00.00.008    of0520rp                      06/11/19  14:28:37
BTB901ZO                              2.00.00.005    ut-trfrr                      06/11/19  14:28:37
UT-VALIDA-FACELIFT                    3.00.00.001    btb901zo                      06/11/19  14:28:37
OF0520E                               2.00.00.036    of0520rp                      06/11/19  14:28:37
UT-TRFRRP                             2.00.00.008    of0520e                       06/11/19  14:28:37
OF0520D                               2.00.00.080    of0520rp                      06/11/19  14:28:41
UT-TRFRRP                             2.00.00.008    of0520d                       06/11/19  14:28:41
OF0520I                               2.00.00.046    of0520d                       06/11/19  14:28:43
UT-TRFRRP                             2.00.00.008    of0520i                       06/11/19  14:28:43
UT-ACOMP                              2.00.00.004    of0520d                       06/11/19  14:28:43
OF0520F                               2.00.00.990    of0520d                       06/11/19  14:28:45
UT-TRFRRP                             2.00.00.008    of0520f                       06/11/19  14:28:45
OF0520F1                              2.00.00.082    of0520d                       06/11/19  14:28:47
UT-TRFRRP                             2.00.00.008    of0520f1                      06/11/19  14:28:47
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:47
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:47
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:47
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:47
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:47
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:47
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:47
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:47
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:48
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:48
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:48
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:48
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:48
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:48
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:49
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:50
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:51
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:52
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:53
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:54
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
