RI0412RP                              2.00.00.076    CN_RI041                      06/02/20  15:16:16
CDAPI007A                             2.00.00.086    ri0412rp                      06/02/20  15:16:17
UT-TRFRRP                             2.00.00.008    cdapi007                      06/02/20  15:16:17
BTB901ZO                              2.00.00.005    ut-trfrr                      06/02/20  15:16:17
UT-VALIDA-FACELIFT                    3.00.00.001    btb901zo                      06/02/20  15:16:17
UT-TRFRRP                             2.00.00.008    cdapi007                      06/02/20  15:16:17
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:16:17
BTB920AA                              2.00.00.012    ri0412rp                      06/02/20  15:16:17
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:16:18
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:16:18
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:16:18
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:16:18
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:16:18
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  15:16:18
BODI453                               2.00.00.023    ri0412rp                      06/02/20  15:16:18
BTBSECURITY                           3.00.00.001    bodi453                       06/02/20  15:16:19
MEN901ZA                              2.00.00.009    btbsecur                      06/02/20  15:16:19
BTB918ZB                              2.00.00.002    bodi453                       06/02/20  15:16:19
UT-XMLPRS                             3.00.00.001    bodi453                       06/02/20  15:16:19
BODI453A                              2.00.00.019    ri0412rp                      06/02/20  15:16:20
BTB918ZB                              2.00.00.002    bodi453a                      06/02/20  15:16:20
api_controle_cta_ctbl                     prgint/utb/utb743za.py    1.00.00.009    06/02/20  15:16:20
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  15:16:20
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  15:16:23
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  15:16:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:24
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:24
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:25
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:25
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:26
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:26
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:26
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:26
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:26
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:27
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:27
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:27
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:27
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:27
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:27
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:27
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:28
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:28
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:28
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:28
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:28
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:28
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:28
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:28
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:16:28
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:16:28
     PonRI0412RP.809. Fim do bloco do rateio                                                                
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  15:16:28
TWDI458                               2.00.00.000    ri0412rp                      06/02/20  15:16:28
     PonInicio Procedure execute - 06/02/2020 - 15:16:28                                                    
     PonIntegracao EMS 5.0 -> yes - 06/02/2020 - 15:16:28                                                   
     PonApos tratamento conexao bancos - 06/02/2020 - 15:16:28                                              
     PonInicio bloco principal - 06/02/2020 - 15:16:28                                                      
     PonLote -> 10/RI01B091/1                                                                               
TCAD095                               2.00.00.001    cdapi007                      06/02/20  15:16:28
TWAD095                               2.00.00.001    cdapi007                      06/02/20  15:16:28
     PonInicio processamento itens do lote  - 06/02/2020 - 15:16:28                                         
TCAD169                               2.00.00.005    cdapi007                      06/02/20  15:16:28
TWAD169                               2.00.00.002    cdapi007                      06/02/20  15:16:28
TCAD169                               2.00.00.005    cdapi007                      06/02/20  15:16:28
TWAD169                               2.00.00.002    cdapi007                      06/02/20  15:16:28
TCAD169                               2.00.00.005    cdapi007                      06/02/20  15:16:28
TWAD169                               2.00.00.002    cdapi007                      06/02/20  15:16:28
TCAD169                               2.00.00.005    cdapi007                      06/02/20  15:16:28
TWAD169                               2.00.00.002    cdapi007                      06/02/20  15:16:28
TCAD169                               2.00.00.005    cdapi007                      06/02/20  15:16:28
TWAD169                               2.00.00.002    cdapi007                      06/02/20  15:16:28
TCAD169                               2.00.00.005    cdapi007                      06/02/20  15:16:29
TWAD169                               2.00.00.002    cdapi007                      06/02/20  15:16:29
TCAD169                               2.00.00.005    cdapi007                      06/02/20  15:16:29
TWAD169                               2.00.00.002    cdapi007                      06/02/20  15:16:29
TCAD169                               2.00.00.005    cdapi007                      06/02/20  15:16:29
