Estab	Data Doc.	Doc. Fiscal	Série	Emitente	Nat. Oper	Família	NCM	Seq. Item	Código Item	Quantidade	*Saldo Atual
1	23/08/2011	0201701	1	1	2staou	11122	73083000	20	13f	2	2
1	23/08/2011	0201701	1	1	2staou	11122	73083000	10	40f	2	2
1	23/08/2011	0201704	1	13	21stou	20.032	73089090	10	.compras	2	2
1	23/08/2011	0201704	1	13	21stou	11122	73083000	20	40f	2	2
1	18/08/2011	0201701	1	13	2staou	FM-00	00000000	30		5	5
1	18/08/2011	0201701	1	13	2staou	11122	73083000	20	.danfe	3	3
1	18/08/2011	0201701	1	13	2staou	11122	73083000	10	40t	13	13
1	18/08/2011	0201703	1	13	2staou	11122	34031900	20	.DANFE-TamanhoCP	6	6
1	18/08/2011	0201703	1	13	2staou	11122	73083000	10	40f	10	10
1	16/08/2011	0000896	1	13	211STO	11122	73083000	10	.DANF-e	100	100
1	12/08/2011	0004589	1	13	211sto	20.032	73089090	10	.compras	4	4
1	12/08/2011	0004589	1	13	211sto	11122	73083000	20	.DANF-e	10	10
1	12/08/2011	0004590	1	1	211sto	11122	73083000	10	40f	15	15
1	12/08/2011	0004590	1	1	211sto	11122	73083000	20	40t	9	9
1	09/08/2011	0003001	1	4	211st	20.032	73089090	10	.compras	10	10
1	09/08/2011	0003001	1	4	211st	11122	73083000	20	13f	5	5
1	09/08/2011	0003001	1	4	211st	11122	73083000	30	40f	20	20
1	09/08/2011	0004001	1	13	211st	11122	73083000	10	40f	10	10
1	09/08/2011	0004001	1	13	211st	11122	73083000	20	40t	30	30
1	05/08/2011	0000200	1	13	211sto	20.032	73089090	10	.compras.fisico	10	10
1	05/08/2011	0000200	1	13	211sto	11122	73083000	20	.DANF-e	10	10
1	05/08/2011	0001003	1	1	211sto	20.032	73089090	10	.compras	1	1
1	05/08/2011	0001003	1	1	211sto	20.032	73089090	20	.compras.fisico	3	3
1	05/08/2011	0001003	1	1	211sto	11122	73083000	30	.DANF-e	15	15
1	01/08/2011	0001001	1	13	211sto	20.032	73089090	10	.compras	10	10
1	01/08/2011	0001001	1	13	211sto	FM-00	00000000	30	13d	1	1
1	01/08/2011	0001001	1	13	211sto	11122	73083000	20	40C	3	3
1	01/08/2011	0001002	1	13	211sto	FM-00	00000000	30		10	10
1	01/08/2011	0001002	1	13	211sto	20.032	73089090	40	.compras	2	2
1	01/08/2011	0001002	1	13	211sto	FM-00	00000000	20	13d	10	10
1	01/08/2011	0001002	1	13	211sto	11122	73083000	10	40f	200	200
