Nota Fiscal Saída								Nota Fiscal Entrada							Item			Valores	
Data	Número	Série	Emitente	Nat. Oper	Modelo	Seq	Quantidade	Data	Número	Série	Emitente	Nat. Oper	Seq	Quantidade	Cód. Item	Família	NCM	Qtd Utilizada	Saldo
02/08/2011	0000008	un	12704	59932	01	10	25	01/08/2011	0001002	1	13	211sto	40	2	.compras	20.032	73089090	2	0
02/08/2011	0000008	un	12704	59932	01	10	23	01/08/2011	0001001	1	13	211sto	10	10	.compras	20.032	73089090	10	0
03/08/2011	0076196	5	70	6123	01	40	1	01/08/2011	0001002	1	13	211sto	20	10	13d	FM-00	00000000	1	9
03/08/2011	4032014	5	13	6128	28	10	1	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	1	9
09/08/2011	0290847	11	4	611sta	01	10	2	09/08/2011	0003001	1	4	211st	10	10	.compras	20.032	73089090	2	8
09/08/2011	0290847	11	4	611sta	01	20	3	09/08/2011	0004001	1	13	211st	10	10	40f	11122	73083000	3	7
09/08/2011	0290848	11	1	611sub	01	10	1	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	1	8
09/08/2011	0290848	11	1	611sub	01	20	2	01/08/2011	0001002	1	13	211sto	20	10	13d	FM-00	00000000	2	7
09/08/2011	0290849	11	13	69DEVL	01	10	3	09/08/2011	0004001	1	13	211st	10	10	40f	11122	73083000	3	4
09/08/2011	0290849	11	13	69DEVL	01	20	2	01/08/2011	0001002	1	13	211sto	20	10	13d	FM-00	00000000	2	5
09/08/2011	0290850	11	13	6111	01	30	100	09/08/2011	0003001	1	4	211st	10	10	.compras	20.032	73089090	8	0
09/08/2011	0290850	11	13	6111	01	30	92	05/08/2011	0001003	1	1	211sto	10	1	.compras	20.032	73089090	1	0
09/08/2011	0290850	11	13	611st	01	10	20	09/08/2011	0004001	1	13	211st	20	30	40t	11122	73083000	20	10
09/08/2011	0290850	11	13	611st	01	20	5	01/08/2011	0001002	1	13	211sto	20	10	13d	FM-00	00000000	5	0
09/08/2011	0290851	11	70	6123	01	10	2	09/08/2011	0004001	1	13	211st	10	10	40f	11122	73083000	2	2
09/08/2011	0290851	11	70	6123	01	20	3	09/08/2011	0003001	1	4	211st	20	5	13f	11122	73083000	3	2
10/08/2011	0000011	un	1	611tb	01	10	1	01/08/2011	0001001	1	13	211sto	30	1	13d	FM-00	00000000	1	0
10/08/2011	0000011	un	1	611tb	01	20	2	09/08/2011	0003001	1	4	211st	20	5	13f	11122	73083000	2	0
10/08/2011	0076274	5	81	611otf	01	30	2	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	2	6
10/08/2011	0076275	5	70	699OTR	01	30	2	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	2	4
12/08/2011	0076317	5	81	6123	01	30	1	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	1	3
12/08/2011	0076329	5	1	6123	01	10	1	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	1	2
12/08/2011	0076331	5	70	6123	01	10	2	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	2	0
15/08/2011	0290852	11	13	699sta	01	10	4	12/08/2011	0004589	1	13	211sto	10	4	.compras	20.032	73089090	4	0
15/08/2011	0290852	11	13	699sta	01	20	10	12/08/2011	0004589	1	13	211sto	20	10	.DANF-e	11122	73083000	10	0
15/08/2011	0290853	11	1	699sta	01	10	5	12/08/2011	0004590	1	1	211sto	10	15	40f	11122	73083000	5	10
15/08/2011	0290853	11	1	699sta	01	20	3	12/08/2011	0004590	1	1	211sto	20	9	40t	11122	73083000	3	6
15/08/2011	0290854	11	1	699sta	01	10	4	12/08/2011	0004590	1	1	211sto	10	15	40f	11122	73083000	4	6
15/08/2011	0290854	11	1	699sta	01	20	4	12/08/2011	0004590	1	1	211sto	20	9	40t	11122	73083000	4	2
20/08/2011	0071101	5	13	610110	01	10	1	18/08/2011	0201701	1	13	2staou	10	13	40t	11122	73083000	1	12
20/08/2011	0071104	5	13	611sc	01	20	1	18/08/2011	0201703	1	13	2staou	10	10	40f	11122	73083000	1	9
20/08/2011	0071105	5	13	611sc	01	20	2	05/08/2011	0001003	1	1	211sto	20	3	.compras.fisico	20.032	73089090	2	1
20/08/2011	20161101	5	13	611jec	01	10	1	18/08/2011	0201703	1	13	2staou	10	10	40f	11122	73083000	1	8
31/08/2011	0076726	5	70	6123	01	20	1	23/08/2011	0201701	1	1	2staou	20	2	13f	11122	73083000	1	1
31/08/2011	0076727	5	81	6123	01	20	1	23/08/2011	0201701	1	1	2staou	20	2	13f	11122	73083000	1	0
31/08/2011	0076729	5	22	6123	01	30	11	18/08/2011	0201701	1	13	2staou	30	5	DD	FM-00	00000000	5	0
31/08/2011	0290857	11	13	611-IE	01	20	15	23/08/2011	0201704	1	13	21stou	20	2	40f	11122	73083000	2	0
31/08/2011	0290857	11	13	611-IE	01	20	13	23/08/2011	0201701	1	1	2staou	10	2	40f	11122	73083000	2	0
31/08/2011	0290857	11	13	611-IE	01	20	11	18/08/2011	0201703	1	13	2staou	10	10	40f	11122	73083000	8	0
31/08/2011	0290857	11	13	611-IE	01	20	3	12/08/2011	0004590	1	1	211sto	10	15	40f	11122	73083000	3	3
31/08/2011	0290857	11	13	611-IE	01	30	3	23/08/2011	0201704	1	13	21stou	10	2	.compras	20.032	73089090	2	0
31/08/2011	0290857	11	13	611-IE	01	50	1	18/08/2011	0201701	1	13	2staou	20	3	.danfe	11122	73083000	1	2
31/08/2011	0290857	11	13	611-IE	01	60	6	18/08/2011	0201701	1	13	2staou	10	13	40t	11122	73083000	6	6
31/08/2011	0290857	11	13	611-IE	01	70	4	18/08/2011	0201703	1	13	2staou	20	6	.DANFE-TamanhoCP	11122	34031900	4	2
31/08/2011	0290857	11	13	611-IE	01	80	41	16/08/2011	0000896	1	13	211STO	10	100	.DANF-e	11122	73083000	41	59
31/08/2011	0290857	11	13	611-IE	01	90	1	05/08/2011	0001003	1	1	211sto	20	3	.compras.fisico	20.032	73089090	1	0
