Nota Fiscal Saída							Nota Fiscal Entrada							Item			Valores															
Data	Número	Série	Emitente	Nat. Oper	Seq.	Quantidade	Data	Número	Série	Emitente	Nat. Oper	Seq.	Quant Ult Entr	Cód. Item	Família	NCM	Vl Unit Ult Entr	Vl Unit Bc ST	Vl Unit Bc ICMS Ult Entr	Aliq ICMS Ult Entr	Vl Unit Limite BC ICMS Ult E	Vl Unit ICMS Ult Entr	Aliq ST Ult Entr	Vl Unit Res	Cod Resp Ret	Cod Mot Res	Cod Part Nfe Ret	Ser Nfe Ret	Num Nfe Ret	Item Nfe Ret	Cod Da	Num Da
02/08/2011	0000008	un	12704	59932	10	25	01/08/2011	0001002	1	13	211sto	40	2	.compras	20.032	73089090	100	100	100	7	100	7	17	10	1	1				0	-1	
02/08/2011	0000008	un	12704	59932	10	23	01/08/2011	0001001	1	13	211sto	10	10	.compras	20.032	73089090	25	25	25	7	25	1.75	17	2.5	1	1				0	-1	
03/08/2011	0076196	5	70	6123	40	1	01/08/2011	0001002	1	13	211sto	20	10	13d	FM-00	00000000	25	25	25	7	25	1.75	18	2.75	1	1				0	-1	
09/08/2011	0290847	11	4	611sta	10	2	09/08/2011	0003001	1	4	211st	10	10	.compras	20.032	73089090	200	262.5	210	7	210	14.7	17	29.925	1	1				0	-1	
09/08/2011	0290847	11	4	611sta	20	3	09/08/2011	0004001	1	13	211st	10	10	40f	11122	73083000	30	37.5	30	7	30	2.1	13	2.775	1	1				0	-1	
09/08/2011	0290848	11	1	611sub	20	2	01/08/2011	0001002	1	13	211sto	20	10	13d	FM-00	00000000	25	25	25	7	25	1.75	18	2.75	1	1				0	-1	
09/08/2011	0290849	11	13	69DEVL	10	3	09/08/2011	0004001	1	13	211st	10	10	40f	11122	73083000	30	37.5	30	7	30	2.1	13	2.775	1	1				0	-1	
09/08/2011	0290849	11	13	69DEVL	20	2	01/08/2011	0001002	1	13	211sto	20	10	13d	FM-00	00000000	25	25	25	7	25	1.75	18	2.75	1	1				0	-1	
09/08/2011	0290850	11	13	611st	10	20	09/08/2011	0004001	1	13	211st	20	30	40t	11122	73083000	2.69	3.3627	2.69	7	2.69	0.1883	15	0.3161	1	1				0	-1	
09/08/2011	0290850	11	13	611st	20	5	01/08/2011	0001002	1	13	211sto	20	10	13d	FM-00	00000000	25	25	25	7	25	1.75	18	2.75	1	1				0	-1	
09/08/2011	0290850	11	13	6111	30	100	09/08/2011	0003001	1	4	211st	10	10	.compras	20.032	73089090	200	262.5	210	7	210	14.7	17	29.925	1	1				0	-1	
09/08/2011	0290850	11	13	6111	30	92	05/08/2011	0001003	1	1	211sto	10	1	.compras	20.032	73089090	30	30	30	7	30	2.1	17	3	1	1				0	-1	
09/08/2011	0290851	11	70	6123	10	2	09/08/2011	0004001	1	13	211st	10	10	40f	11122	73083000	30	37.5	30	7	30	2.1	13	2.775	1	1				0	-1	
09/08/2011	0290851	11	70	6123	20	3	09/08/2011	0003001	1	4	211st	20	5	13f	11122	73083000	65	81.25	65	7	65	4.55	7	1.1375	1	1				0	-1	
10/08/2011	0000011	un	1	611tb	10	1	01/08/2011	0001001	1	13	211sto	30	1	13d	FM-00	00000000	300	300	300	7	300	21	18	33	1	1				0	-1	
10/08/2011	0000011	un	1	611tb	20	2	09/08/2011	0003001	1	4	211st	20	5	13f	11122	73083000	65	81.25	65	7	65	4.55	25	15.7625	1	1				0	-1	
10/08/2011	0076274	5	81	611otf	30	2	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	24	24	24	7	24	1.68	17	2.4	1	1				0	-1	
10/08/2011	0076275	5	70	699OTR	30	2	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	24	24	24	7	24	1.68	17	2.4	1	1				0	-1	
12/08/2011	0076317	5	81	6123	30	1	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	24	24	24	7	24	1.68	17	2.4	1	1				0	-1	
12/08/2011	0076329	5	1	6123	10	1	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	24	24	24	7	24	1.68	17	2.4	1	1				0	-1	
12/08/2011	0076331	5	70	6123	10	2	01/08/2011	0001002	1	13	211sto	30	10	DD	FM-00	00000000	24	24	24	7	24	1.68	17	2.4	1	1				0	-1	
15/08/2011	0290852	11	13	699sta	10	4	12/08/2011	0004589	1	13	211sto	10	4	.compras	20.032	73089090	160	160	160	7	160	11.2	17	16	1	1				0	-1	
15/08/2011	0290852	11	13	699sta	20	10	12/08/2011	0004589	1	13	211sto	20	10	.DANF-e	11122	73083000	189	189	189	7	189	13.23	13	11.34	1	1				0	-1	
