FIRMA : Estabelecimento TOTVS - Ñ ALTERAR CONTAS      INSCR. EST. - 255721161           C.N.P.J. - 53113791001790       FOLHA      1


PERÍODO  - 01/05 A 31/05/2011                      APURAÇÃO DE PIS/COFINS NAS ENTRADAS - NORMAL

CÓDIGO                                    VALOR             BASE DE             BASE DE     VALOR PIS/PASEP        VALOR COFINS
FISCAL                                 CONTÁBIL         CÁLCULO PIS      CÁLCULO COFINS

0001227         -1     -        1             367,50                0,00                0,00                0,00                0,00
1101                                          367,50                0,00                0,00                0,00                0,00


0001232         -1     -        1             560,00                0,00                0,00                0,00                0,00
1101a                                         560,00                0,00                0,00                0,00                0,00


0004038         -      -    73628           1.899,00            1.899,00            1.899,00               31,33              144,32
0004054         -      -    73628           1.815,00            1.815,00            1.815,00               29,95              137,94
0004055         -      -    73628           2.596,00            2.596,00            2.596,00               42,83              197,30
0035198         -1     -    73775           2.023,22            2.023,22            2.023,22               33,38              153,77
0004116         -      -    73628           3.894,00            3.894,00            3.894,00               64,25              295,94
0004117         -      -    73628          13.629,00           13.629,00           13.629,00              224,88            1.035,80
0004122         -      -    73628           9.360,00            9.360,00            9.360,00              154,44              711,36
0004125         -      -    73628             590,00              590,00              590,00                9,74               44,84
0004148         -      -    73628          16.472,00           16.472,00           16.472,00              271,80            1.251,87
0004154         -      -    73628           9.995,00            9.995,00            9.995,00              164,92              759,62
0004156         -      -    73628          23.355,50           22.904,00           22.904,00              377,93            1.740,70
0004157         -      -    73628          16.368,00           16.368,00           16.368,00              270,07            1.243,98
0004158         -      -    73628          18.467,00           18.269,00           18.269,00              301,44            1.388,45
0004159         -      -    73628          22.495,00           22.495,00           22.495,00              371,16            1.709,63
0004160         -      -    73628          17.415,75           17.415,75           17.415,75              287,37            1.323,61
0031613         -1     -    75194           2.194,76            2.090,25            2.090,25               34,49              158,86
0039112         -1     -    73101             291,70              291,70              291,70                4,81               22,17
0004199         -      -    73628           7.810,00            7.100,00            7.100,00              117,15              539,60
0004201         -      -    73628           9.772,80            9.772,80            9.772,80              161,25              742,73
0031730         -1     -    75194           6.828,15            6.503,00            6.503,00              107,30              494,23
0001285         -      -    75800             516,60                0,00                0,00                8,11               37,40
0024664         -1     -    76363          15.049,65           13.681,50           13.681,50              225,74            1.039,80
0003132         -3     -    73251             270,00              270,00              270,00                4,46               20,52
0043885         -1     -    74644             627,21              545,40              545,40                9,00               41,45
0001302         -      -    75800           2.831,64                0,00                0,00               44,50              204,96
