Estabelecimento	Número do Documento	Série	Participante	Natureza de Operação	Data	Cód. Informação Complementar	Texto Complementar
1	0076171	5	14	7111	8/1/2011	1	"ICMS-NAO INC.CONF.ART.7,V DO RICMS DEC.  45.490/2000.IPI- IMUNE II DO ARTIGO 18 DO RIPI DECRETO 4542/02"
1	0076172	5	81	611OTF	8/1/2011	2	DOCTO REFERENCIADO
1	0076173	5	70	699OTR	8/1/2011	2	DOCTO REFERENCIADO
1	0076174	5	70	611OTF	8/1/2011	2	DOCTO REFERENCIADO
1	0076175	5	81	699OTR	8/1/2011	2	DOCTO REFERENCIADO
1	0076177	5	70	699FAR	8/1/2011	3	NF 0076176 01/08/11
1	0076178	5	12704	51DFAR	8/1/2011	2	DOCTO REFERENCIADO
1	0076179	5	70	611EFF	8/1/2011	2	DOCTO REFERENCIADO
1	0108001	GRAOS	90000032	2322	8/1/2011	2	DOCTO REFERENCIADO
1	0108006	GRAOS	90000032	2322	8/1/2011	2	DOCTO REFERENCIADO
1	0801002	GRAOS	90000032	2322	8/1/2011	2	DOCTO REFERENCIADO
1	0801003	GRAOS	90000032	2322	8/1/2011	2	DOCTO REFERENCIADO
1	2907003	GRAOS	90000032	2322	8/1/2011	2	DOCTO REFERENCIADO
1	0000008	UN	12704	59932	8/2/2011	4	"MATERIAL DE N/PROPRIEDADE QUE DEVERA RETORNAR POSTERIORMENTE.ICMS SUSPENSO-ART. 402 RICMS/2000IPI SUSPENSO-ART.42,VI DO RIPI/02 MATERIAL DESTINADO A USO E/OU CONSUMO PROPRIO."
1	0020811	UN	12704	199999	8/2/2011	2	DOCTO REFERENCIADO
1	0076180	5	70	699BRT	8/2/2011	5	ICMS SUSPENSO CONF. ARTIGO 402 PARAGRAFO 1 DO RICMS/00
1	0076183	5	81	699BRT	8/2/2011	5	ICMS SUSPENSO CONF. ARTIGO 402 PARAGRAFO 1 DO RICMS/00
1	0076184	5	12704	51DFAR	8/2/2011	6	MERCADORIA RECEBIDA POR MEIO DA SUA NOTA FISCALMOTIVO FORA DAS ESPECIFICACOES TECNICASIPI PARA CREDITO DO DESTINATARIO
1	0076185	5	12704	51DFAR	8/2/2011	6	MERCADORIA RECEBIDA POR MEIO DA SUA NOTA FISCALMOTIVO FORA DAS ESPECIFICACOES TECNICASIPI PARA CREDITO DO DESTINATARIO
1	0076186	5	12704	51DFAR	8/2/2011	6	MERCADORIA RECEBIDA POR MEIO DA SUA NOTA FISCALMOTIVO FORA DAS ESPECIFICACOES TECNICASIPI PARA CREDITO DO DESTINATARIO
1	0076188	5	90000033	612-DE	8/2/2011	7	MERCADORIA FORNECIDA POR ESTABELECIMENTO TOTVS PORTADOR DO CNPJ / CPF 53.113.791/0006-37.
1	0076191	5	12704	53134	8/2/2011	2	DOCTO REFERENCIADO
1	0076192	5	12704	53134	8/2/2011	2	DOCTO REFERENCIADO
1	0076193	5	70	699BRT	8/2/2011	5	ICMS SUSPENSO CONF. ARTIGO 402 PARAGRAFO 1 DO RICMS/00
1	0076193	5	70	611SER	8/2/2011	5	ICMS SUSPENSO CONF. ARTIGO 402 PARAGRAFO 1 DO RICMS/00
1	0076195	5	70	611RFA	8/2/2011	8	*IPI ALIQUOTA ZERO CLASS FISCAL A-7308.30.00 E C-7610.10.00 IPI ALIQUOTA 5% CLASS FISCAL B-7308.90.90 CONF.DECRETO 6006 DE 28/12/2006*IPI ALIQUOTA ZERO CLASS FISCAL D-7610.90.00CONF DECRETO 6455 DE 12/05/2008* TRANSPORTE DE CARGA PROPRIA
1	0208001	GRAOS	90000032	2322	8/2/2011	2	DOCTO REFERENCIADO
1	0208002	GRAOS	90000032	2322	8/2/2011	2	DOCTO REFERENCIADO
1	0208003	GRAOS	90000032	2322	8/2/2011	2	DOCTO REFERENCIADO
1	0208004	GRAOS	90000032	2322	8/2/2011	2	DOCTO REFERENCIADO
1	0208006	GRAOS	90000032	2322	8/2/2011	2	DOCTO REFERENCIADO
1	0208007	GRAOS	90000032	2322	8/2/2011	2	DOCTO REFERENCIADO
1	0290836	11	70	611TB	8/2/2011	9	*IPI ALIQUOTA ZERO CLASS FISCAL A-7308.30.00 E C-7610.10.00 IPI ALIQUOTA 5% CLASS FISCAL B-7308.90.90 CONF.DECRETO 6006 DE 28/12/2006*IPI ALIQUOTA ZERO CLASS FISCAL D-7610.90.00CONF DECRETO 6455 DE 12/05/2008* TRANSPORTE DE CARGA PROPRIA  |
