Estabelecimento	Série	Número do Documento	Participante	Tipo de Operação	Participante Referenciado	Indicador Emitente Refer.	Modelo Doc. Referenciado	Série Doc. Referenciado	Número Doc. Referenciado	Data Emissão Doc. Referenciado
1	5	0076172	81	1	70	0		5	0076173	8/1/2011
1	5	0076173	70	1	81	0		5	0076172	8/1/2011
1	5	0076174	70	1	81	0		5	0076175	8/1/2011
1	5	0076175	81	1	70	0		5	0076174	8/1/2011
1	GRAOS	0108001	90000032	1	90000032	0	55	5	0075995	7/8/2011
1	GRAOS	0108001	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	GRAOS	0108006	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	GRAOS	0801002	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	GRAOS	0801003	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	GRAOS	2907003	90000032	1	90000032	0	55	5	0075993	7/8/2011
1	GRAOS	2907003	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	UN	0020811	12704	1	12704	0	1	UN	0000009	8/2/2011
1	5	0076180	70	0	70	1	55	5	0010800	8/1/2011
1	5	0076183	81	0	81	1	55	5	0020800	8/2/2011
1	5	0076184	12704	0	12704	1		UN	0076668	8/1/2011
1	5	0076185	12704	0	12704	1		UN	0076668	8/1/2011
1	5	0076186	12704	0	12704	1		UN	0076668	8/1/2011
1	5	0076188	90000033	0	90000033	1		1	0020801	8/2/2011
1	5	0076191	12704	0	12704	1	55	UN	0077777	8/3/2011
1	5	0076192	12704	0	12704	1	55	UN	0077777	8/3/2011
1	5	0076193	70	0	70	1	55	5	0010800	8/1/2011
1	5	0076193	70	0	70	1	55	5	0010800	8/1/2011
1	5	0076195	70	1	70	0		5	0076194	8/2/2011
1	GRAOS	0208001	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	GRAOS	0208002	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	GRAOS	0208003	90000032	1	90000032	0	55	5	0075998	7/11/2011
