Estabelecimento	Número do Documento	Série	Participante	Natureza de Operação	Data	Código Observação	Texto Complementar
1	0001001	1	13	211STO	8/1/2011	1	"ICMS SUBSTITUICAO =          266,00"
1	0001002	1	13	211STO	8/1/2011	2	"ICMS SUBSTITUICAO =        2.531,00"
1	0001295	1	12704	111FAF	8/1/2011	3	"SIMPLES FATURAMENTO - IPI:     3,90"
1	0001296	1	12704	111FAF	8/1/2011	4	"SIMPLES FATURAMENTO - IPI:     3,00"
1	0076172	5	81	611OTF	8/1/2011	5	OP.TRI. NF  REM         0076173
1	0076173	5	70	699OTR	8/1/2011	6	OP.TRI. NF  FAT         0076172
1	0076174	5	70	611OTF	8/1/2011	7	OP.TRI. NF  REM         0076175
1	0076175	5	81	699OTR	8/1/2011	8	OP.TRI. NF  FAT         0076174
1	0076176	5	70	611FAF	8/1/2011	9	SIMPLES     FATURAMENTO
1	0076177	5	70	699FAR	8/1/2011	10	NF 0076176  01/08/2011
1	0076179	5	70	611EFF	8/1/2011	9	SIMPLES     FATURAMENTO
1	0076668	UN	12704	111FAR	8/1/2011	11	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0076666 SERIE: UN DE 01/08/11
1	0000008	UN	12704	59932	8/2/2011	12	OUTROS AJUSTES
1	0001302	1	12704	111FAF	8/2/2011	13	"SIMPLES FATURAMENTO - IPI:     6,05"
1	0010811	UN	12704	111EFF	8/2/2011	14	"SIMPLES FATURAMENTO - IPI:     0,75"
1	0076181	5	70	611FAF	8/2/2011	9	SIMPLES     FATURAMENTO
1	0076182	5	70	611FAF	8/2/2011	9	SIMPLES     FATURAMENTO
1	0076187	5	70	611FAF	8/2/2011	9	SIMPLES     FATURAMENTO
1	0076189	5	70	611FAF	8/2/2011	9	SIMPLES     FATURAMENTO
1	0076194	5	70	611FAF	8/2/2011	9	SIMPLES     FATURAMENTO
1	0076195	5	70	611RFA	8/2/2011	15	NF 0076194  02/08/2011
1	0290839	11	13	611FAF	8/2/2011	9	SIMPLES     FATURAMENTO
1	0001500	1	12704	111FAF	8/3/2011	16	"SIMPLES FATURAMENTO - IPI:    20,00"
1	0076196	5	70	6123	8/3/2011	12	OUTROS AJUSTES
1	0076197	5	70	611FAF	8/3/2011	9	SIMPLES     FATURAMENTO
1	0088881	UN	12704	111FAR	8/3/2011	17	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0088880 SERIE: UN DE 03/08/11
1	0001305	1	12704	111FAF	8/4/2011	18	"SIMPLES FATURAMENTO - IPI:     8,75"
1	0001308	1	12704	111FAF	8/4/2011	18	"SIMPLES FATURAMENTO - IPI:     8,75"
1	0001309	1	12704	111FAR	8/4/2011	19	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001308 SERIE: 1 DE 18/08/11
1	0040811	UN	12704	111EFF	8/4/2011	20	"SIMPLES FATURAMENTO - IPI:   125,00"
1	0290842	11	70	611RFA	8/4/2011	21	NF 0290841  04/08/2011
1	0000200	1	13	211STO	8/5/2011	22	"ICMS SUBSTITUICAO =        1.658,00"
1	0001003	1	1	211STO	8/5/2011	23	"ICMS SUBSTITUICAO =          227,57"
1	0001501	1	12704	111FAR	8/5/2011	24	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001500 SERIE: 1 DE 05/08/11
1	0001503	1	12704	111FAR	8/5/2011	25	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001500 SERIE: 1 DE 08/08/11
1	0050811	UN	12704	111EFF	8/5/2011	26	"SIMPLES FATURAMENTO - IPI:    28,71"
1	0088883	UN	12704	111FAR	8/5/2011	27	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0088882 SERIE: UN DE 05/08/11
1	0088884	UN	12704	111FAR	8/5/2011	27	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0088882 SERIE: UN DE 05/08/11
1	0001311	1	12704	111FAF	8/8/2011	28	"SIMPLES FATURAMENTO - IPI:     8,20"
1	0001312	1	12704	111EFF	8/8/2011	29	"SIMPLES FATURAMENTO - IPI:     8,60"
1	0001314	1	12704	111EFR	8/8/2011	30	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001312 SERIE: 1 DE 08/08/11
1	0055551	UN	12704	111FAR	8/8/2011	31	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0055550 SERIE: UN DE 08/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0055550 SERIE: UN DE 08/08/11
1	0080811	UN	12704	111EFR	8/8/2011	32	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0070711 SERIE: UN DE 07/07/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001270 SERIE: 1 DE 26/07/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001310 SERIE: 1 DE 20/06/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001312 SERIE: 1 DE 08/08/11
1	0003001	1	4	211ST	8/9/2011	33	"ICMS SUBSTITUICAO =          747,63"
1	0004001	1	13	211ST	8/9/2011	34	"ICMS SUBSTITUICAO =           92,32"
1	0070811	UN	12704	111EFR	8/9/2011	35	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0070811 SERIE: UN DE 09/08/11
