Estabelecimento	Data	Série	Número do Documento	Participante	CFOP	Tributo	CST	Alíquota	Base de Cálculo	Valor Tributado	Valor Isento	Valor Outros
1	8/1/2011	12345	0000004	70		ICMS	00	25.00	539.13	134.78	0.00	0.00
1	8/1/2011	12345	0000004	70		IPI	51	0.00	0.00	0.00	0.00	425.00
1	8/1/2011	12345	0000004	70		IPI	50	8.00	114.13	9.13	0.00	0.00
1	8/1/2011	12345	0000004	70		PIS	01	0.00	539.13	8.90	0.00	0.00
1	8/1/2011	12345	0000004	70		COFINS	01	0.00	539.13	40.98	0.00	0.00
1	8/1/2011	5	0076172	81	6102	PIS	01	0.00	1740.26	28.71	0.00	0.00
1	8/1/2011	5	0076172	81	6102	IPI	51	0.00	0.00	0.00	0.00	1714.00
1	8/1/2011	5	0076172	81	6102	IPI	50	8.00	26.26	2.10	0.00	0.00
1	8/1/2011	1	0001001	13	2101	ICMS	00	7.00	850.00	59.50	0.00	0.00
1	8/1/2011	1	0001001	13	2101	IPI	01	0.00	600.00	0.00	0.00	0.00
1	8/1/2011	1	0001001	13	2101	IPI	00	5.00	250.00	12.50	0.00	0.00
1	8/1/2011	1	0001001	13	2101	PIS	07	0.00	850.00	0.00	0.00	0.00
1	8/1/2011	1	0001001	13	2101	COFINS	07	0.00	850.00	0.00	0.00	0.00
1	8/1/2011	1	0001002	13	2101	ICMS	00	7.00	6690.00	468.30	0.00	0.00
1	8/1/2011	1	0001002	13	2101	IPI	01	0.00	6490.00	0.00	0.00	0.00
1	8/1/2011	1	0001002	13	2101	IPI	00	5.00	200.00	10.00	0.00	0.00
1	8/1/2011	1	0001002	13	2101	PIS	07	0.00	6440.00	0.00	0.00	0.00
1	8/1/2011	1	0001002	13	2101	PIS	01	1.65	250.00	4.13	0.00	0.00
1	8/1/2011	1	0001002	13	2101	COFINS	07	0.00	6440.00	0.00	0.00	0.00
1	8/1/2011	1	0001002	13	2101	COFINS	01	7.60	250.00	19.00	0.00	0.00
1	8/1/2011	5	0076172	81	6102	COFINS	01	0.00	1740.26	132.27	0.00	0.00
1	8/1/2011	5	0076179	70	6118	IPI	51	0.00	0.00	0.00	0.00	21000.00
1	8/1/2011	5	0076179	70	6118	IPI	50	8.00	43.77	3.50	0.00	0.00
1	8/1/2011	1	0001295	12704	1101	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	1	0001295	12704	1101	PIS	06	0.00	133.00	2.20	0.00	0.00
1	8/1/2011	1	0001295	12704	1101	COFINS	06	0.00	133.00	10.11	0.00	0.00
1	8/1/2011	1	0001296	12704	1101	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076179	70	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	1	0001296	12704	1101	PIS	06	0.00	100.00	1.65	0.00	0.00
1	8/1/2011	1	0001296	12704	1101	COFINS	06	0.00	100.00	7.60	0.00	0.00
1	8/1/2011	5	0010800	70	2101	ICMS	90	0.00	0.00	0.00	0.00	11000.00
1	8/1/2011	5	0010800	70	2101	IPI	03	0.00	0.00	0.00	0.00	11000.00
1	8/1/2011	5	0010800	70	2101	PIS	06	0.00	11000.00	0.00	0.00	0.00
1	8/1/2011	5	0010800	70	2101	COFINS	06	0.00	11000.00	0.00	0.00	0.00
1	8/1/2011	5	0076168	70		ICMS	00	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076168	70		IPI	51	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076168	70		PIS	01	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076168	70		COFINS	01	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076169	81		ICMS	00	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076169	81		IPI	50	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076169	81		PIS	01	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076169	81		COFINS	01	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076179	70	6118	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076170	70		ICMS	00	25.00	138271811.68	34567952.92	0.00	0.00
1	8/1/2011	5	0076170	70		IPI	51	0.00	0.00	0.00	0.00	138271811.68
1	8/1/2011	5	0076170	70		PIS	01	0.00	138271811.68	2281484.89	0.00	0.00
1	8/1/2011	5	0076170	70		COFINS	01	0.00	138271811.68	10508657.69	0.00	0.00
1	8/1/2011	5	0076171	14	7101	ICMS	41	0.00	0.00	0.00	1000.00	0.00
1	8/1/2011	5	0076171	14	7101	IPI	52	0.00	0.00	0.00	1000.00	0.00
1	8/1/2011	5	0076171	14	7101	PIS	06	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076171	14	7101	COFINS	06	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076172	81	6102	ICMS	00	25.00	1740.26	435.07	0.00	0.00
1	8/1/2011	5	0076173	70	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076173	70	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076173	70	6118	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	UN	0000009	12704	5101	ICMS	00	17.00	150.00	25.50	0.00	0.00
1	8/1/2011	5	0076174	70	6102	ICMS	00	25.00	30813.53	7703.38	0.00	0.00
1	8/1/2011	5	0076174	70	6102	IPI	51	0.00	0.00	0.00	0.00	22296.00
1	8/1/2011	5	0076174	70	6102	IPI	50	8.00	8517.53	681.40	0.00	0.00
1	8/1/2011	5	0076174	70	6102	PIS	01	0.00	30813.53	508.42	0.00	0.00
1	8/1/2011	5	0076174	70	6102	COFINS	01	0.00	30813.53	2341.83	0.00	0.00
1	8/1/2011	5	0076175	81	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076175	81	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076175	81	6118	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	UN	0000009	12704	5101	IPI	50	5.00	150.00	7.50	0.00	0.00
1	8/1/2011	5	0076176	70	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076176	70	6118	IPI	51	0.00	0.00	0.00	0.00	33489.34
1	8/1/2011	5	0076176	70	6118	IPI	50	8.00	87.53	7.00	0.00	0.00
1	8/1/2011	5	0076176	70	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076176	70	6118	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	UN	0000009	12704	5101	PIS	06	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076177	70	6118	ICMS	90	0.00	0.00	0.00	0.00	32193.34
1	8/1/2011	5	0076177	70	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076177	70	6118	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	UN	0000009	12704	5101	COFINS	06	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076178	12704	5201	ICMS	00	0.00	0.00	0.00	0.00	0.00
