Estabelecimento	Série	Nota Fiscal	Emitente	Nat. Operação	Data NF	Sequência	Item	Descrição	Valor Total	Conta Contábil	Centro de Custo	Quantidade	Unidade Medida	Origem	Código Serviço	Registro de Exportação	Tipo de Serviço
1	12345	0000004	70	6123	8/1/2011	1	13c	ITEM CONTROLE CONSIGNADO	101.00	112110500000105	010701010000101	1.00	KG	1			
1	12345	0000004	70	6123	8/1/2011	2	13f	ITEM CONTROLE TOTAL	104.00	112110500000105	010701010000101	1.00	KG	1			
1	12345	0000004	70	6123	8/1/2011	3	13ff	ITEM CONTROLE FISICO	13.13	112110500000105	010701010000101	1.00	KG	1			
1	12345	0000004	70	6123	8/1/2011	4	13t	ITEM CONTROLE TOTAL	105.00	112110500000105	010701010000101	1.00	KG	1			
1	12345	0000004	70	6123	8/1/2011	5	p2	ITEM COMPOSTO - PAI N?O BAIXA ESTOQUE -  FILHOS BAIXAM	216.00	112110500000105	010701010000101	2.00	KG	0			
1	1	0001001	13	211sto	8/1/2011	1	.compras	.Compras - Projeto 87	250.00	211050400000601	010702080000208	10.00	pc	1			
1	1	0001001	13	211sto	8/1/2011	2	40C	ITEM CONTROLE CONSIGNADO	300.00	112510100000101		3.00	KG	0			
1	1	0001001	13	211sto	8/1/2011	3	13d	ITEM D¿BITO DIRETO	300.00	112211400000114		1.00	pc	1			
1	1	0001002	13	211sto	8/1/2011	1	40f	ITEM CONTROLE F?SICO	6000.00	112510100000101		200.00	KG	0			
1	1	0001002	13	211sto	8/1/2011	2	13d	ITEM D¿BITO DIRETO	250.00	112211400000114		10.00	pc	1			
1	1	0001002	13	211sto	8/1/2011	3	DD	Material D.Direto - TRIBUTADO	240.00	413290100000901	010701010000101	10.00	pc	0			
1	1	0001002	13	211sto	8/1/2011	4	.compras	.Compras - Projeto 87	200.00	211050400000601	010702080000208	2.00	pc	1			
1	5	0076172	81	611otf	8/1/2011	1	13F	ITEM CONTROLE TOTAL	208.00	112110500000105	010701010000101	2.00	KG	1			
1	1	0001295	12704	111faf	8/1/2011	1	.compras	.Compras - Projeto 87	55.00	413050100000502	010701010000101	11.00	PC	1			
1	1	0001295	12704	111faf	8/1/2011	2	.compras.lote	.Compras Controle Lote - Projeto 87	78.00	413050100000502	010701010000101	13.00	pc	1			
1	1	0001296	12704	111faf	8/1/2011	1	.compras	.Compras - Projeto 87	40.00	413050100000502	010701010000101	10.00	PC	1			
1	1	0001296	12704	111faf	8/1/2011	2	.compras.lote	.Compras Controle Lote - Projeto 87	60.00	413050100000502	010701010000101	12.00	pc	1			
1	5	0010800	70	211BRM	8/1/2011	1	40T	ITEM CONTROLE TOTAL	10000.00	112510100000101	010701010000101	1000.00	KG	1			
1	5	0010800	70	211BRM	8/1/2011	2	13FF	ITEM CONTROLE FISICO	1000.00	112110500000105	010701010000101	1000.00	KG	1			
1	5	0076168	70	6123	8/1/2011	1	13f	ITEM CONTROLE TOTAL	208.00	112210600000106	010702030000203	2.00	KG	1			
1	5	0076169	81	6123	8/1/2011	1	13c	ITEM CONTROLE CONSIGNADO	101.00	112210600000106	010702030000203	1.00	KG	1			
1	5	0076169	81	6123	8/1/2011	2	13ff	ITEM CONTROLE FISICO	26.26	112210600000106	010702030000203	2.00	KG	1			
1	5	0076170	70	6123	8/1/2011	1	13f	ITEM CONTROLE TOTAL	208.00	112210600000106	010702030000203	2.00	KG	1			
1	5	0076170	70	6123	8/1/2011	2	13t	ITEM CONTROLE TOTAL	138271603.68	112210600000106	010702030000203	123456789.00	KG	1			
1	5	0076171	14	7111	8/1/2011	1	ABJC-100	ALAVANCA COM BOTAO MONTADO	1000.00	5111104		10.00	pc	1			
1	5	0076172	81	611otf	8/1/2011	2	13FF	ITEM CONTROLE FISICO	26.26	112110500000105	010701010000101	2.00	KG	1			
1	5	0076172	81	611otf	8/1/2011	3	13T	ITEM CONTROLE TOTAL	210.00	112110500000105	010701010000101	2.00	KG	1			
1	5	0076172	81	611otf	8/1/2011	4	P2	ITEM COMPOSTO - PAI N?O BAIXA ESTOQUE -  FILHOS BAIXAM	1296.00	112110500000105	010701010000101	2.00	KG	0			
1	5	0076173	70	699OTR	8/1/2011	1	13F	ITEM CONTROLE TOTAL	208.00	511110100000101	010702010000201	2.00	KG	1			
1	5	0076173	70	699OTR	8/1/2011	2	13FF	ITEM CONTROLE FISICO	26.26	511110100000101	010702010000201	2.00	KG	1			
1	5	0076173	70	699OTR	8/1/2011	3	13T	ITEM CONTROLE TOTAL	210.00	511110100000101	010702010000201	2.00	KG	1			
1	5	0076173	70	699OTR	8/1/2011	4	P2	ITEM COMPOSTO - PAI N?O BAIXA ESTOQUE -  FILHOS BAIXAM	1296.00	511110100000101	010702010000201	2.00	KG	0			
1	5	0076174	70	611otf	8/1/2011	1	13T	ITEM CONTROLE TOTAL	21000.00	112110500000105	010701010000101	200.00	KG	1			
1	5	0076174	70	611otf	8/1/2011	2	13C	ITEM CONTROLE CONSIGNADO	8430.00	112110500000105	010701010000101	100.00	KG	1			
1	5	0076174	70	611otf	8/1/2011	3	13FF	ITEM CONTROLE FISICO	87.53	112110500000105	010701010000101	6.67	KG	1			
1	5	0076174	70	611otf	8/1/2011	4	P2	ITEM COMPOSTO - PAI N?O BAIXA ESTOQUE -  FILHOS BAIXAM	1296.00	112110500000105	010701010000101	2.00	KG	0			
