Estabelecimento	Período	Indicador Tipo de Apuração	Conta Contábil	CFOP	Valor Contábil	Base de cálculo	Imposto Tributado	Isento/Não Tributado	Outros
1	Aug-11	0	0	6101	7639.30	4684.69	507.92	1788.72	0.00
1	Aug-11	0	0	6102	257737.98	251580.68	62396.55	0.00	0.00
1	Aug-11	0	0	6109	23754.56	20972.81	1468.06	0.00	2700.19
1	Aug-11	0	0	6118	0.00	0.00	0.00	0.00	0.00
1	Aug-11	0	0	6201	140.00	0.00	0.00	140.00	0.00
1	Aug-11	0	0	6401	1298.16	1126.70	78.86	0.00	0.00
1	Aug-11	0	0	6403	9660.03	6436.59	450.56	0.00	3028.60
1	Aug-11	0	112110500000105	1101	16319.50	16319.45	2774.32	0.00	0.00
1	Aug-11	0	112110500000105	2101	21000.00	0.00	0.00	0.00	21000.00
1	Aug-11	0	112110500000105	2551	3000.00	0.00	0.00	0.00	3000.00
1	Aug-11	0	112110500000105	5101	0.00	0.00	0.00	0.00	0.00
1	Aug-11	0	112110500000105	6101	2808.76	2786.76	696.69	0.00	0.00
1	Aug-11	0	112110500000105	6102	102153.85	100215.97	25054.02	0.00	0.00
1	Aug-11	0	112110500000105	6109	78932.50	6160.00	1540.00	72772.50	0.00
1	Aug-11	0	112110500000105	6118	0.00	0.00	0.00	0.00	0.00
1	Aug-11	0	112110500000105	7101	805.80	0.00	0.00	805.80	0.00
1	Aug-11	0	112110700000107	1101	126.00	120.00	20.40	0.00	0.00
1	Aug-11	0	112112000000120	2551	1000.00	0.00	0.00	0.00	1000.00
1	Aug-11	0	112210600000106	1101	787.50	752.50	127.93	0.00	0.00
1	Aug-11	0	112210600000106	2551	7800.00	0.00	0.00	0.00	7800.00
1	Aug-11	0	112210600000106	6102	138272695.39	138272686.26	34568171.57	0.00	0.00
1	Aug-11	0	112211400000114	2101	1319.57	960.00	67.20	0.00	0.00
1	Aug-11	0	112211400000114	2551	6400.00	0.00	0.00	0.00	6400.00
1	Aug-11	0	112500100000001	1101	26749.75	25595.00	4601.85	0.00	50.00
1	Aug-11	0	112500100000001	1551	2.10	0.00	0.00	0.00	2.00
1	Aug-11	0	112500100000001	1949	25.00	0.00	0.00	0.00	25.00
1	Aug-11	0	112500100000001	3101	11.92	0.00	0.00	0.00	11.92
1	Aug-11	0	112501000000010	1101	0.00	2280.00	387.60	0.00	0.00
1	Aug-11	0	112510100000101		1061770.36	0.00	0.00	1061770.36	0.00
1	Aug-11	0	112510100000101	1101	85201.00	85201.00	14484.18	0.00	0.00
1	Aug-11	0	112510100000101	1902	263.00	259.09	44.05	0.00	0.00
1	Aug-11	0	112510100000101	2101	78441.08	15735.00	1101.45	0.00	57119.70
1	Aug-11	0	112510100000101	2117	4319.40	1363.70	95.46	0.00	2000.00
1	Aug-11	0	112510100000101	2201	15900.00	0.00	0.00	15900.00	0.00
1	Aug-11	0	112510100000101	2202	4608.69	0.00	0.00	4608.69	0.00
1	Aug-11	0	113015800000158	1101	8.19	7.80	1.40	0.00	0.00
1	Aug-11	0	113015800000158	3101	744.52	592.93	100.80	0.00	21.14
1	Aug-11	0	132020100000201	1101	10.50	10.00	1.70	0.00	0.00
1	Aug-11	0	132020100000201	3101	355.82	291.66	49.58	0.00	0.00
1	Aug-11	0	211050400000530	1124	500.00	500.00	85.00	0.00	0.00
1	Aug-11	0	211050400000601	1101	1833.91	12258.22	2083.90	0.00	0.00
1	Aug-11	0	211050400000601	1124	247.00	247.00	41.99	0.00	0.00
1	Aug-11	0	211050400000601	1902	5702.63	113964.63	19373.98	0.00	0.00
1	Aug-11	0	211050400000601	2101	2757.33	1420.00	99.40	1050.00	0.00
1	Aug-11	0	211050400000601	2117	3436.13	2100.00	147.00	0.00	630.00
1	Aug-11	0	311311311312113	1101	5000000.00	5000000.00	600000.00	0.00	0.00
1	Aug-11	0	311311311315113	1101	1166.55	1111.00	188.87	0.00	0.00
1	Aug-11	0	413050100000502	1101	130469.59	85.00	14.45	0.00	0.00
1	Aug-11	0	413050100000502	1902	2754.50	3140.00	533.80	0.00	0.00
1	Aug-11	0	413050100000503	1101	17282.10	0.00	0.00	0.00	0.00
1	Aug-11	0	413050100000503	1902	180.00	0.00	0.00	0.00	0.00
1	Aug-11	0	413290100000901	2101	6995.14	4921.70	344.52	0.00	150.00
1	Aug-11	0	511110100000101	1352	300.00	300.00	17.00	0.00	0.00
1	Aug-11	0	511110100000101	5101	5157.50	5150.00	875.50	0.00	0.00
1	Aug-11	0	511110100000101	5201	515.00	515.00	87.55	0.00	0.00
1	Aug-11	0	511110100000101	5949	125.00	0.00	0.00	0.00	125.00
1	Aug-11	0	511110100000101	6101	31329.08	28101.00	6895.25	0.00	0.00
1	Aug-11	0	511110100000101	6102	27012.00	25012.00	6253.00	0.00	0.00
1	Aug-11	0	511110100000101	6109	16500.00	0.00	0.00	16500.00	0.00
1	Aug-11	0	511110100000101	6118	46665312.00	0.00	0.00	0.00	46665312.00
1	Aug-11	0	511110100000101	6251	2500.00	2500.00	625.00	0.00	0.00
1	Aug-11	0	511110100000101	6401	4303.93	3918.45	470.21	0.00	0.00
1	Aug-11	0	511110100000101	6925	2219.02	2219.02	554.76	0.00	0.00
1	Aug-11	0	5111104	7101	1000.00	0.00	0.00	1000.00	0.00
