Estabelecimento	Período	CFOP	CST	Valor Contábil	Base de cálculo	Imposto Tributado
1	Aug-11		02	123004.74	0.00	0.00
1	Aug-11	1101	00	153352.99	2711.00	135.55
1	Aug-11	1101	01	101518.45	0.00	0.00
1	Aug-11	1101	03	5027249.34	0.00	0.00
1	Aug-11	1101	49	543.53	10890.60	544.53
1	Aug-11	1124	03	747.00	0.00	0.00
1	Aug-11	1551	03	2.10	0.00	0.00
1	Aug-11	1902	00	262.50	250.00	12.50
1	Aug-11	1902	49	5877.91	117608.12	5880.41
1	Aug-11	1949	03	75.00	0.00	0.00
1	Aug-11	2101	00	8743.18	6485.00	384.25
1	Aug-11	2101	01	21393.13	16734.70	0.00
1	Aug-11	2101	02	5376.81	0.00	0.00
1	Aug-11	2101	03	75000.00	0.00	0.00
1	Aug-11	2117	00	3436.13	2600.00	130.00
1	Aug-11	2117	01	4319.40	3363.70	0.00
1	Aug-11	2201	02	15900.00	0.00	0.00
1	Aug-11	2202	02	4608.69	0.00	0.00
1	Aug-11	2551	03	12200.00	0.00	0.00
1	Aug-11	2551	49	6000.00	0.00	0.00
1	Aug-11	3101	00	1079.20	884.59	44.23
1	Aug-11	3101	01	33.06	0.00	0.00
1	Aug-11	5101	50	157.50	158.00	7.90
1	Aug-11	5201	51	515.00	0.00	0.00
1	Aug-11	5949	53	125.00	0.00	0.00
1	Aug-11	6101	50	18973.56	15008.72	1361.44
1	Aug-11	6101	52	370.03	0.00	0.00
1	Aug-11	6101	54	733.36	0.00	0.00
1	Aug-11	6102	50	134895.94	124903.65	9992.29
1	Aug-11	6102	51	138524168.59	0.00	0.00
1	Aug-11	6109	50	1712.74	1631.18	81.56
1	Aug-11	6109	51	27940.87	0.00	0.00
1	Aug-11	6109	52	89272.50	0.00	0.00
1	Aug-11	6118	50	0.00	19495.56	1559.64
1	Aug-11	6118	51	46598384.00	0.00	0.00
1	Aug-11	6118	52	66928.00	0.00	0.00
1	Aug-11	6201	51	140.00	0.00	0.00
1	Aug-11	6201	52	0.00	0.00	0.00
1	Aug-11	6401	50	3673.93	3318.45	247.48
1	Aug-11	6401	51	630.00	0.00	0.00
1	Aug-11	6401	52	1298.16	0.00	0.00
1	Aug-11	6403	51	2441.24	0.00	0.00
1	Aug-11	6403	52	11774.62	0.00	0.00
1	Aug-11	6403	53	640.00	0.00	0.00
1	Aug-11	6925	50	734.02	679.65	54.37
1	Aug-11	6925	51	1485.00	0.00	0.00
1	Aug-11	7101	52	1805.80	0.00	0.00
