Estabelecimento	Período	Nat. Operação	Tipo Operação	Valor Contábil	Base de cálculo	Imposto Tributado	Isento/Não Tributado	Outros
1	Aug-11	11111	0	5029917.39	2541.00	127.05	0.00	0.00
1	Aug-11	1112	0	500.00	0.00	0.00	0.00	0.00
1	Aug-11	111A	0	101018.45	0.00	0.00	0.00	0.00
1	Aug-11	111AGR	0	52.50	50.00	2.50	0.00	0.00
1	Aug-11	111EFF	0	132311.34	0.00	0.00	0.00	0.00
1	Aug-11	111EFR	0	5877.91	117608.12	5880.41	0.00	0.00
1	Aug-11	111FAF	0	18216.10	20.00	1.00	0.00	0.00
1	Aug-11	111FAR	0	543.53	10890.60	544.53	0.00	0.00
1	Aug-11	111MRI	0	2.10	0.00	0.00	0.00	0.00
1	Aug-11	11EFFR	0	0.00	0.00	0.00	0.00	0.00
1	Aug-11	11FAFR	0	0.00	0.00	0.00	0.00	0.00
1	Aug-11	19401	0	247.00	0.00	0.00	0.00	0.00
1	Aug-11	19402	0	500.00	0.00	0.00	0.00	0.00
1	Aug-11	19932	0	25.00	0.00	0.00	0.00	0.00
1	Aug-11	19933	0	50.00	0.00	0.00	0.00	0.00
1	Aug-11	199999	0	105.00	100.00	5.00	0.00	0.00
1	Aug-11	199RET	0	262.50	250.00	12.50	0.00	0.00
1	Aug-11	210201	1	123004.74	0.00	0.00	0.00	0.00
1	Aug-11	211BRM	0	75000.00	0.00	0.00	0.00	0.00
1	Aug-11	211DEV	0	6426.81	1000.00	50.00	0.00	0.00
1	Aug-11	211MRI	0	18200.00	0.00	0.00	0.00	0.00
1	Aug-11	211ST	0	4303.65	3363.70	100.00	0.00	0.00
1	Aug-11	211STO	0	24909.19	18950.00	244.25	0.00	0.00
1	Aug-11	21STOU	0	3451.88	2600.00	30.00	0.00	0.00
1	Aug-11	220202	0	4020.00	0.00	0.00	0.00	0.00
1	Aug-11	2311	0	15900.00	0.00	0.00	0.00	0.00
1	Aug-11	2322	0	588.69	0.00	0.00	0.00	0.00
1	Aug-11	2STAOU	0	4177.12	3269.70	90.00	0.00	0.00
1	Aug-11	3111	0	1079.20	884.59	44.23	0.00	0.00
1	Aug-11	3111-R	0	33.06	0.00	0.00	0.00	0.00
1	Aug-11	511EFF	1	0.00	8.00	0.40	0.00	0.00
1	Aug-11	51DFAR	1	15.00	0.00	0.00	0.00	0.00
1	Aug-11	53134	1	500.00	0.00	0.00	0.00	0.00
1	Aug-11	59932	1	125.00	0.00	0.00	0.00	0.00
1	Aug-11	599999	1	157.50	150.00	7.50	0.00	0.00
1	Aug-11	6101	1	260.95	0.00	0.00	0.00	0.00
1	Aug-11	610110	1	1100.00	1000.00	100.00	0.00	0.00
1	Aug-11	611-IE	1	102426.11	1631.18	81.56	0.00	0.00
1	Aug-11	6111	1	1878.16	1788.72	89.44	0.00	0.00
1	Aug-11	611EFF	1	0.00	18573.77	1485.90	0.00	0.00
1	Aug-11	611FAF	1	0.00	921.79	73.74	0.00	0.00
1	Aug-11	611JEC	1	12820.00	11000.00	1050.00	0.00	0.00
1	Aug-11	611OTF	1	90919.84	21877.95	1750.23	0.00	0.00
1	Aug-11	611RFA	1	109.08	0.00	0.00	0.00	0.00
1	Aug-11	611SC	1	4303.93	3318.45	247.48	0.00	0.00
1	Aug-11	611ST	1	5874.62	0.00	0.00	0.00	0.00
1	Aug-11	611STA	1	5900.00	0.00	0.00	0.00	0.00
1	Aug-11	611SUB	1	1298.16	0.00	0.00	0.00	0.00
1	Aug-11	611TB	1	3908.76	1220.00	122.00	0.00	0.00
1	Aug-11	612-DE	1	16500.00	0.00	0.00	0.00	0.00
1	Aug-11	6123	1	138568144.69	103025.70	8242.06	0.00	0.00
1	Aug-11	699BRM	1	2184.38	671.65	53.73	0.00	0.00
1	Aug-11	699BRT	1	34.64	8.00	0.64	0.00	0.00
1	Aug-11	699EFR	1	46632454.14	0.00	0.00	0.00	0.00
1	Aug-11	699FAR	1	32857.86	0.00	0.00	0.00	0.00
1	Aug-11	699OTR	1	0.00	0.00	0.00	0.00	0.00
1	Aug-11	699STA	1	3081.24	0.00	0.00	0.00	0.00
1	Aug-11	69DEVL	1	140.00	0.00	0.00	0.00	0.00
1	Aug-11	7111	1	1805.80	0.00	0.00	0.00	0.00
