Estabelecimento	Data Inventário	Motivo Inventário	Item	Participante	Indicador de propriedade/posse	Unidade de medida	Quantidade Item	Valor Unitário Item	Valor Item	Conta Contábil	Valor do item IR
1	5/31/2011	05	21.31.104-9		0	PC	55.00	151.70	8343.37	112510100000101	8343.37
1	5/31/2011	05	21.31.201-0		0	PC	73.00	147.81	10789.78	112510100000101	10789.78
1	5/31/2011	05	21.31.105-7		0	PC	44.00	161.42	7102.65	112510100000101	7102.65
1	5/31/2011	05	21.31.106-5		0	PC	45.00	157.27	7077.30	112510100000101	7077.30
1	5/31/2011	05	21.31.202-9		0	PC	69.00	147.40	10170.34	112510100000101	10170.34
1	5/31/2011	05	21.31.403-0		0	PC	91.00	154.60	14068.57	112510100000101	14068.57
1	5/31/2011	05	21.31.404-8		0	PC	81.00	157.69	12772.75	112510100000101	12772.75
1	5/31/2011	05	21.31.405-6		0	PC	49.00	175.32	8590.73	112510100000101	8590.73
1	5/31/2011	05	21.31.406-4		0	PC	48.00	171.50	8232.05	112510100000101	8232.05
1	5/31/2011	05	21.31.203-7		0	PC	104.00	161.98	16845.69	112510100000101	16845.69
1	5/31/2011	05	21.31.204-5		0	PC	187.00	169.65	31724.83	112510100000101	31724.83
1	5/31/2011	05	21.31.205-3		0	PC	50.00	172.20	8610.03	112510100000101	8610.03
1	5/31/2011	05	21.31.206-1		0	PC	59.00	184.55	10888.74	112510100000101	10888.74
1	5/31/2011	05	21.31.401-3		0	PC	82.00	144.58	11855.35	112510100000101	11855.35
1	5/31/2011	05	21.31.402-1		0	PC	89.00	145.19	12922.01	112510100000101	12922.01
1	5/31/2011	05	21.32.101-0		0	PC	24.00	132.84	3188.19	112510100000101	3188.19
1	5/31/2011	05	21.21.101-0		0	PC	25.00	148.47	3711.70	112510100000101	3711.70
1	5/31/2011	05	21.21.102-8		0	PC	79.00	160.07	12645.83	112510100000101	12645.83
1	5/31/2011	05	21.21.103-6		0	PC	44.00	191.77	8437.69	112510100000101	8437.69
1	5/31/2011	05	21.21.112-5		0	PC	42.00	173.33	7279.66	112510100000101	7279.66
1	5/31/2011	05	21.21.113-3		0	PC	7.00	206.18	1443.28	112510100000101	1443.28
1	5/31/2011	05	21.21.201-6		0	PC	175.00	143.54	25120.26	112510100000101	25120.26
1	5/31/2011	05	21.21.202-4		0	PC	375.00	162.43	60909.55	112510100000101	60909.55
1	5/31/2011	05	21.21.203-2		0	PC	45.00	210.92	9491.55	112510100000101	9491.55
1	5/31/2011	05	21.21.212-1		0	PC	97.00	185.78	18020.57	112510100000101	18020.57
1	5/31/2011	05	21.21.213-0		0	PC	41.00	223.64	9169.10	112510100000101	9169.10
1	5/31/2011	05	21.21.401-9		0	PC	42.00	155.95	6549.93	112510100000101	6549.93
1	5/31/2011	05	21.21.402-7		0	PC	88.00	171.19	15064.43	112510100000101	15064.43
1	5/31/2011	05	21.21.403-5		0	PC	33.00	210.96	6961.61	112510100000101	6961.61
1	5/31/2011	05	21.21.412-4		0	PC	59.00	193.51	11416.99	112510100000101	11416.99
1	5/31/2011	05	21.21.413-2		0	PC	14.00	228.21	3194.88	112510100000101	3194.88
1	5/31/2011	05	21.22.101-5		0	PC	74.00	151.84	11236.18	112510100000101	11236.18
1	5/31/2011	05	21.22.102-3		0	PC	21.00	164.71	3459.01	112510100000101	3459.01
1	5/31/2011	05	21.22.103-1		0	PC	29.00	200.27	5807.70	112510100000101	5807.70
1	5/31/2011	05	21.22.112-0		0	PC	90.00	179.17	16125.41	112510100000101	16125.41
1	5/31/2011	05	21.22.113-9		0	PC	25.00	214.16	5354.03	112510100000101	5354.03
1	5/31/2011	05	21.22.201-1		0	PC	164.00	154.73	25376.29	112510100000101	25376.29
1	5/31/2011	05	21.22.201-1	19109	1	PC	164683.65	16.26	2677343.45	112510100000101	2677343.45
1	5/31/2011	05	21.22.202-0		0	PC	332.00	161.70	53685.49	112510100000101	53685.49
1	5/31/2011	05	21.22.203-8		0	PC	48.00	216.12	10373.73	112510100000101	10373.73
1	5/31/2011	05	21.22.212-7		0	PC	102.00	177.99	18154.74	112510100000101	18154.74
1	5/31/2011	05	21.22.213-5		0	PC	44.00	232.71	10239.28	112510100000101	10239.28
1	5/31/2011	05	21.22.401-4		0	PC	50.00	134.33	6716.40	112510100000101	6716.40
1	5/31/2011	05	21.22.402-2		0	PC	174.00	147.58	25678.93	112510100000101	25678.93
1	5/31/2011	05	21.22.403-0		0	PC	55.00	213.16	11723.62	112510100000101	11723.62
1	5/31/2011	05	21.22.412-0		0	PC	38.00	194.63	7396.08	112510100000101	7396.08
1	5/31/2011	05	21.22.413-8		0	PC	22.00	227.93	5014.37	112510100000101	5014.37
1	5/31/2011	05	21.31.101-4		0	PC	62.00	128.35	7957.68	112510100000101	7957.68
1	5/31/2011	05	21.31.102-2		0	PC	51.00	128.99	6578.61	112510100000101	6578.61
1	5/31/2011	05	21.31.103-0		0	PC	106.00	145.06	15375.88	112510100000101	15375.88
1	5/31/2011	05	21.32.102-8		0	PC	75.00	130.87	9815.36	112510100000101	9815.36
