Empresa	Estabelecimento	Atividade	Dt Docto	Serie	Docto	Emitente	Nat Oper	Seq Item	Item	NCM	Serv	CFOP	Val Receita	Val Excl IPI	Val Excl ICMSST	Val Excl DEV/EXP	Val Base
10	1	19000000	1/2/2014	1	0080010	13	5101	20	P100N	19912000		5101	12250.00	0.00	0.00	0.00	12250.00
10	1	1901EX01	1/2/2014	1	0080010	13	5101	10	P100	19912000		5101	6250.00	0.00	0.00	0.00	6250.00
10	1	73082000	1/2/2014	1	0080015	13	511FAC	10	40T	73083000		5101	416.00	0.00	0.00	0.00	416.00
10	1	73082000	1/4/2014	15	0070015	13	211DEV	10	40T	73083000		2101	0.00	0.00	0.00	396.00	-396.00
10	1	73082000	1/27/2014	15	0070021	13	511XX	10	40T	73083000		5101	645.00	32.25	0.00	0.00	612.75
10	1	73082000	1/4/2014	15	0080016	13	610107	10	40T	73083000		6101	396.00	0.00	0.00	0.00	396.00
10	1	73082000	1/25/2014	15	0080018	13	610107	10	40C	73083000		6101	730.00	0.00	0.00	0.00	730.00
10	1	73082000	1/25/2014	15	0080019	13	610107	10	40T	73083000		6101	128.00	0.00	0.00	0.00	128.00
10	1	73082000	1/25/2014	15	0080020	13	5910CP	10	40C	73083000		5910	110.00	0.00	0.00	0.00	110.00
10	1	73082000	1/25/2014	15	0080021	13	6911CP	10	40C	73083000		6911	165.00	0.00	0.00	0.00	165.00
10	1	73082000	1/25/2014	15	0080022	13	5923CP	10	40C	73083000		5923	330.00	0.00	0.00	0.00	330.00
10	1	76129090	1/3/2014	1	0070013	14	7CPRB	10	79.04.032-0	76109000		7101	337.05	16.05	0.00	337.05	-16.05
10	1	76129090	1/3/2014	1	0070014	14	7CPRB	10	79.04.032-0	76109000		7101	359.52	38.52	0.00	359.52	-38.52
10	1	76129090	1/3/2014	1	0080016	13	5101	10	79.04.032-0	76109000		5101	500.00	0.00	0.00	0.00	500.00
