Estabelecimento	Código Item	Descrição	Código Barra	Unidade Medida	Tipo Item	NCM	Código EX	Código Gênero	Código LST	Código Comb	Origem	Data Inclusão	Alíquota ICMS	Código Serv. Municipal	Tipo de Serviço
1	KA02L	KARINE KA02L LOTE		PC	90	73083000		73			0	6/24/2011	17.00		
1	21.32.401-9	JVGQ-100X120X12-3 PTKA DIR BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.21.201-6	JVBGE-100X120X12-6 APDPRA/VLS		PC	04	73083000		73			0	7/27/2000	17.00		
1	21.31.402-1	JVGQ-100X120X12-3 PTKA ESQ PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.403-0	JVGQ-100X150X12-3 PTKA DIR PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.201-6	JVGE-100X120X12-3 PTKA DIR BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	40T	ITEM CONTROLE TOTAL		KG	90	73083000		73			0	6/24/2011	15.00		
1	21.21.202-4	JVBGE-100X150X12-6 APDPRA/VLS		PC	04	73083000		73			0	7/27/2000	17.00		
1	21.21.203-2	JVBGE-100X200X12-6 APDPRA/VLS		PC	04	73083000		73			0	8/30/2004	17.00		
1	21.21.212-1	JVBGE-120X150X12-6 APDPRA/VLS		PC	04	73083000		73			0	11/7/2000	17.00		
1	21.21.213-0	JVBGE-120X200X12-6 APDPRA VLS		PC	04	73083000		73			0	2/22/2005	17.00		
1	21.32.204-0	JVGE-100X150X12-3 PTKA ESQ BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	81.31.204-4	FECHO COM TRAVA		PC	01	00000000		00			0	4/28/2008	17.00		
1	21.21.113-3	JVBSG-120X200X12-6 APDPRA VLS		PC	04	73083000		73			0	2/22/2005	17.00		
1	21.22.112-0	JVCSG-120X150X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.402-2	JVCGQ-100X150X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.403-0	JVCGQ-100X200X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.412-0	JVCGQ-120X150X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.413-8	JVCGQ-120X200X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.32.106-0	JVSG-120X150X12-3 PTKA ESQ BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.402-7	JVGQ-100X120X12-3 PTKA ESQ BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
