Natureza Operação	Descrição	Código Nat Oper ECF	Tipo Operação
621SER	SERVICO MODELO 21		
625101	VENDA ENERGIA ELETR P/ DIST E COMER		
69DEVL	DEVOLUCAO A FORNECEDOR		
211ST	SUBSTITUICAO TRIBUTARIA		
211STO	COMPRA ICMS SUBS ANTECIP SOMA ST		
21STOU	SUBSTITUICAO TRIBUTARIA ICMS OUTROS		
220202	GRS-DEV VENDA MERC TERC-NAONOTA-FE		
611STA	VENDA - ICMS ST / COBRADO ANTERIOR		
611SUB	VENDA - ICMS ST		
211MRI	COMPRA DE ATIVO IMOBILIZADO _ MRI		4
611TB	VENDA - TRIBUTADA ICMS		
111MRI	COMPRA DE ATIVO IMOBILIZADO _ MRI		4
19402	RET. DE BENEF. - MATERIAL AGREGADO		
19932	RETORNO DE BENEFICIAMENTO		1
610110	VDA MERCADORIA		
6128	VENDA DE PRODUTO MODELO 28		
611-IE	VENDA DE PRODUTOS FAVOR NAO ALTERAR		
6111	VENDA DE PRODUTOS		
7111	VENDAS EXTERIOR		
11111	COMPRA DE INSUMOS		
1112	COMPRA DE INSUMOS		
111FAR	FATURAMENTO ANTECIPADO - REMESSA		
210201	GRS-COMPRA - IMPNOTA - FE		
51102	VENDA DE PRODUTOS MODELO 02		
59932	REMESSA PARA BENEF INDUSTRIAL		1
599999	FAT. CONSIGNADO		
6101	VENDA FORA ESTADO		1
611EFF	ENTREGA FUTURA - FATURAMENTO		1
611RFA	REMESSA FATURAMENTO ANTECIPADO		
611SC	VENDA DE PRODUTOS-ST		
6123	VENDA DE MERCADORIAS		
699BRM	BENEFICIAMENTO - REMESSA		1
699OTR	OPERA¿¿O TRIANGULAR - REMESSA		1
699STA	DEVOL FORNEC SUBST TRIB ANTEC - EST		1
210202	GRS-COMPRA - NAOIMPNOTA - FE		
3111	COMPRA DE INSUMO - IMPORTADO		
3111-R	NF COMPLEMENTAR - NAT RATEIO IM0101		
611FAF	FUTURAMENTO ANTEC - FATURAMENTO		1
611JEC	VENDA		
611OTF	OPERA?? OTRIANGULAR - FATURA		
611SER	SERVICO		
611ST	VENDA - ICMS ST		
612-DE	DEV PROD N.FATURA - NAO ALTERAR		
6127	CARGA TRANSPORTADA		
699BRT	BENEFICIAMENTO - RETORNO		1
699EFR	ENTREGA FUTURA - REMESSA		1
699FAR	FUTURAMENTO ANTEC - REMESSA		1
111RAT	RATEIO		
11EFFR	ENTREGA FUTURA - FATURA (ESCR.REM)		
11FAFR	FATURAM ANTECIPADO-FATURA (ESC.REM)		
1352	TRANSPORTE		1
19401	RETORNO DE BENEFICIAMENTO		
19933	REMESSA DE BENEFICIAMENTO		1
199999	REMESSA EM CONSIGNACAO		
199RET	RETORNO BENEFICIAMENTO		
210204	GRS-COMPL PRECO COMPRA-NAONOTA-FE		
210206	GRS-COMPL QTD COMPRA-NAOIMPNOTA-FE		
211BRM	BENEFICIAMENTO - REMESSA		
211DEV	DEVOLUCAO		
2311	DEVOLUCAO DE PRODUTOS		
2322	DEVOLUCAO		
2STAOU	COMPRA ICMS SUBS ANTECIP ICMS OU		
51107	VENDA DE PRODUTOS MODELO 07		
511EFF	ENTREGA FUTURA - FATURAMENTO		
51DFAR	DEVOLUCAO CLIENTE FAT ANTEC		
53134	DEVOL MATERIA PRIMA		
6102	VENDA MODELO 02		
111A	COMPRA MATERIA PRIMA		1
111AGR	MATERIAL AGREGADO		1
111EFF	ENTREGA FUTURA - FATURA		
111EFR	ENTREGA FUTURA - REMESSA		
111FAF	FATURAMENTO ANTECIPADO - FATURA		
