Data	Natureza	Tipo	NÌvel	CÛdigo Conta	DescriÁ„o	Natureza
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	425010000000100	CM E JUROS FISCAIS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	425100000000000	PERDAS EM APLICAAøES	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	425080000000800	VARIAAøES CAMBIAIS PASSIVA	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	425070000000700	JUROS PASSIVOS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	425030000000300	CM PRE FIXADAS PASSIVAS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	425020000000200	CM POS FIXADAS PASSIVAS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	429050000000500	PROVISçO PARA COMISSçO	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	429060000000600	PROVISçO PARA AJUSTE VR MERCADO	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	429010000000100	PROVISçO DE DEVEDORES DUVIDOSOS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	429070000000700	PROVISçO PARA PARTIC RESULTADOS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	429080000000800	PROVISçO P/CONTRIBUIAçO SOCIAL	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	429100000000000	PROVISçO PARA CONTIGøNCIAS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	429020000000200	PROVISçO PARA IMPOSTO DE RENDA	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	511100000000000	VENDAS DE ESQUADRIAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	512000100000001	REVENDA DE MERCADORIAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	513000100000001	VENDAS DE SUCATAS E RESYDUOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	513000200000002	VENDAS DE MATURIAS PRIMAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	513000300000003	VENDAS DE MATERIAIS DIVERSOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	513000500000005	VENDAS DE MATERIAIS PARA ZONA FRANCA	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	514000200000002	FRETES A TERCEIROS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	514000100000001	SERVIﬁOS A TERCEIROS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	514000400000004	SERVIﬁOS DE INDUSTRIALIZAﬁOO	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	521100000000000	(-)DEVOL/CANCEL ESQUADRIAS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	522930000000300	(-) IMPOSTOS VENDAS DE SERVIAOS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	522920000000200	(-) IMPOSTOS SOBRE OUTRAS VENDAS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	522910000000100	(-) IMPOSTOS REVENDA MERCADORIAS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	522100000000000	(-) IMPOSTOS SOBRE ESQUADRIAS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	523100000000000	CUSTOS DAS VENDAS DE ESQUADRIAS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	523300000000000	(-)CUSTOS DE INDUSTRIALIZACAO	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	523400000000000	(-) CUSTOS DE SERVIAOS DE INSTALAAøES	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	523200000000000	(-)CUSTOS DAS MERCADORIAS VENDIDAS	
5/31/2011	RESULTADO	SINTETICA	CAIXA GERAL	521200000000000	(-) DEVOL/CANCEL REVENDA MERCADORIAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530010900000109	RENDIMENTOS DE RENDA FIXA	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530011200000112	JUROS ATIVOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530010400000104	DESCONTOS OBTIDOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530010500000105	JUROS S/DUPLICATAS E CHEQUES	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530011100000111	VARIACAO CAMBIAL	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530010800000108	RENDIMENTOS DE OUTRAS APLICACOES	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530020300000203	DESPESASS DE CARTORIO	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530020600000206	PREMIO DE SEGURO	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530020900000209	DUPLICATAS RECUPERADAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530020200000202	PIS/COFINS NAO CUMULATIVO	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530020700000207	DESPESASS DIVERSAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530020800000208	IMPOSTOS RECUPERADOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530030100000301	DIVIDENDOS RECEBIDOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530030300000303	JUROS S/CAPITAL RECEBIDOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530040200000402	EMPRESTIMO COMPULSORIO	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530040300000403	VENDA DE IMOVEL	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530040100000401	DEPOSITO DE INCENTIVO FISCAL	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530050100000501	COMISSOES DE SEGUROS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530050800000508	CONVENIO SESI	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530050900000509	REVERSAO DA PROV DE COMISSOES	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530051000000510	ALUGUEIS DE BENS IMOVEIS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530051100000511	REVERSAO DA PROV VR AJUSTE MERC	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530051200000512	REVERSAO DA PROV DA GRATIFICACAO	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530051300000513	OUTRAS RECEITAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530051400000514	REVERSAO DA PROV P/INCENTIVO FIS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530051500000515	REVERSAO DA PROVISAO CONTIGENCIA	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530051600000516	REVERSAO DA PROV APL FINANCEIRAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530051700000517	REVERSAO DA PROV DE PROPAGANDA	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530051800000518	REVERSOO DA PROV DE BONIFICAﬁOO	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530050400000504	REVERSAO PROV FERIAS/ENCARGOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530050700000507	REVERSAO PROV 13 SALARIO	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530050600000506	INDENIZACAO	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530050500000505	REMUNERACAO DE TRIBUTOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530050200000502	INDENIZACOES DE SEGUROS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	530050300000503	REVERSAO PROV DEV DUVIDOSOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	540010400000104	EMPRESTIMOS COMPULSORIOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	540010500000105	ACOES ELETROBRAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	540010100000101	PARTICIPACOES EM OUTRAS EMPRESAS	
