Data	Código	Nome
8/1/2011	010701010000101	ADMINISTRAÞOO DE PRODUÞOO AÞO I
8/1/2011	010702030000203	GRADE
8/1/2011	010701020000102	ADMINISTRAÞOO DE PRODUÞOO AÞO II
8/1/2011	010702010000201	CORTE
8/1/2011	010702020000202	ESTAMPARIA
8/1/2011	010702040000204	FOLHA CEGA
8/1/2011	010702050000205	DOBRADEIRA
8/1/2011	010702080000208	TRATAMENTO
8/1/2011	010702090000209	PINTURA DE ACABAMENTO
8/1/2011	010702100000210	ACABAMENTO
8/1/2011	660001010000001	GRAOS - FERTILIZANTES
8/1/2011	660004010000004	GRAOS - FINANCEIRO GRAOS
8/1/2011	990801010000101	COMPRAS
8/1/2011	990801020000102	PLANEJAMENTO MATERIAIS
