Estabelecimento	Indicador de Operação	Indicador de Emitente	Data	Série	Número do Documento	Modelo	Participante	Valor Total	Inscrição Estab	Modal Transporte	Código Origem Município	Código Destino Município	Tipo Inscrição
1	E	TERC	8/31/2011	UN	0033081	01	1	0.00					
1	S	PROP	8/31/2011	5	0076726	01	70	0.00					
1	S	PROP	8/31/2011	5	0076728	01	81	0.00					
1	S	PROP	8/31/2011	5	0076729	01	22	0.00					
1	S	PROP	8/31/2011	5	0076727	01	81	0.00					
1	S	PROP	8/1/2011	12345	0000004	01	70	0.00					
1	E	TERC	8/1/2011	1	0001001	01	13	0.00					
1	E	TERC	8/1/2011	1	0001002	01	13	0.00					
1	E	TERC	8/1/2011	1	0001295	01	12704	0.00					
1	E	TERC	8/1/2011	1	0001296	01	12704	0.00					
1	E	TERC	8/1/2011	5	0010800	01	70	0.00					
1	S	PROP	8/1/2011	5	0076168	01	70	0.00					
1	S	PROP	8/1/2011	5	0076169	01	81	0.00					
1	S	PROP	8/1/2011	5	0076170	01	70	0.00					
1	S	PROP	8/1/2011	5	0076171	01	14	0.00					
1	S	PROP	8/1/2011	5	0076172	01	81	0.00					
1	S	PROP	8/1/2011	5	0076173	01	70	0.00					
1	S	PROP	8/1/2011	5	0076174	01	70	0.00					
1	S	PROP	8/1/2011	5	0076175	01	81	0.00					
1	S	PROP	8/1/2011	5	0076176	01	70	0.00					
1	S	PROP	8/1/2011	5	0076177	01	70	0.00					
1	S	PROP	8/1/2011	5	0076178	01	12704	0.00					
1	S	PROP	8/1/2011	5	0076179	01	70	0.00					
1	E	TERC	8/1/2011	UN	0076668	01	12704	0.00					
1	E	TERC	8/1/2011	GRAOS	0108001	01	90000032	0.00					
1	E	TERC	8/1/2011	1	0108004	00	90000032	0.00					
1	E	TERC	8/1/2011	GRAOS	0108005	00	90000032	0.00					
1	E	TERC	8/1/2011	GRAOS	0108006	01	90000032	0.00					
1	E	TERC	8/1/2011	GRAOS	0801002	01	90000032	0.00					
1	E	TERC	8/1/2011	GRAOS	0801003	01	90000032	0.00					
1	S	PROP	8/1/2011	15	1234567894	01	70	0.00					
1	E	TERC	8/1/2011	GRAOS	2011080101	00	90000032	0.00					
1	E	TERC	8/1/2011	GRAOS	2907003	01	90000032	0.00					
1	S	PROP	8/2/2011	UN	0000008	01	12704	0.00					
1	S	PROP	8/2/2011	UN	0000009	01	12704	0.00					
1	E	PROP	8/2/2011	UN	0000010	01	12704	0.00					
