Estabelecimento	Número do Documento	Série	Participante	Data	Ind. Operação	Tipo do Título	Número da Duplicata	Parcela	Data Vencimento	Valor Parcela
1	0001001	1	13	8/1/2011	1	00	0001001	1	8/1/2011	50000.00
1	0001002	1	13	8/1/2011	1	00	0001002	1	8/29/2011	9231.00
1	0076171	5	14	8/1/2011	0	00	0076171	1	8/29/2011	1000.00
1	0020811	UN	12704	8/2/2011	1	00	0020811	1	8/2/2011	267.75
1	0000200	1	13	8/5/2011	1	00	0000200	1	9/2/2011	6222.50
1	0050810	UN	40001	8/5/2011	1	00	0050810	1	9/4/2011	8.19
1	0050811	UN	40001	8/5/2011	1	00	0050811	1	9/4/2011	73.50
1	0108005	GRAOS	90000032	8/5/2011	1	00	0108005	1	8/5/2011	670.00
1	0070811	UN	12704	8/9/2011	1	00	0070811	1	8/9/2011	52.50
1	0290847	11	4	8/9/2011	0	00	0290847	1	9/8/2011	5900.00
1	0290850	11	13	8/9/2011	0	00	0290850	1	9/6/2011	7218.09
1	0290855	11	13	8/9/2011	0	00	0290855	1	9/6/2011	1030.00
1	0001337	1	12704	8/10/2011	1	00	0001337	1	8/10/2011	189.00
1	0004589	1	13	8/12/2011	1	00	0004589	1	9/9/2011	2877.36
1	0076325	5	13	8/12/2011	0	00	0076325	1	8/15/2011	600.00
1	0076325	5	13	8/12/2011	0	00	0076325	2	8/30/2011	5000.00
1	0076332	5	14	8/12/2011	0	00	0076332	1	9/9/2011	236.75
1	0076335	5	13	8/12/2011	0	00	0076335	1	9/9/2011	10908.00
1	0076342	5	13	8/12/2011	0	00	0076342	1	8/13/2011	560.00
1	0076343	5	14	8/12/2011	0	00	0076343	1	9/9/2011	331.45
1	0120811	UN	12704	8/12/2011	1	00	0120811	1	8/12/2011	2625.00
1	0120812	UN	12704	8/12/2011	1	00	0120812	1	8/12/2011	52.50
1	0000896	1	13	8/16/2011	1	00	0000896	1	9/13/2011	3412.00
1	0160810	UN	14	8/17/2011	1	00	0160810	1	9/14/2011	341.24
1	0150815	UN	14	8/18/2011	1	00	0150815	1	9/12/2011	554.14
1	0201701	1	13	8/18/2011	1	00	0201701	1	9/15/2011	2067.12
1	0201703	1	13	8/18/2011	1	00	0201703	1	9/15/2011	1165.00
1	0076505	5	13	8/19/2011	0	00	0076505	1	9/16/2011	64472.50
1	0076513	5	13	8/19/2011	0	00	0076513	1	9/16/2011	8300.00
1	0076515	5	14	8/19/2011	0	00	0076515	1	9/16/2011	237.60
1	0001391	1	12704	8/22/2011	1	00	0001391	1	8/23/2011	325.50
1	0290857	11	13	8/31/2011	0	00	0290857	1	9/28/2011	22724.56
