Estabelecimento	Número do Documento	Série	Participante	Natureza de Operação	Data	Código Ajuste	Descrição Ajuste	Item	Base de Cálculo	Alíquota	Valor Tributo	Valor Outros	Sub-Item
1	0000008	UN	12704	59932	8/2/2011	SP10090719		.COMPRAS	0.00	0.00	86.25	0.00	
1	0076196	5	70	6123	8/3/2011	SP10090719		13D	0.00	0.00	2.75	0.00	
1	0290847	11	4	611STA	8/9/2011	SP10090719		.COMPRAS	0.00	0.00	59.85	0.00	
1	0290847	11	4	611STA	8/9/2011	SP10090719		40F	0.00	0.00	9.13	0.00	
1	0290848	11	1	611SUB	8/9/2011	SP10090719		DD	0.00	0.00	2.40	0.00	
1	0290848	11	1	611SUB	8/9/2011	SP10090719		13D	0.00	0.00	5.50	0.00	
1	0290849	11	13	69DEVL	8/9/2011	SP10090719		40F	0.00	0.00	9.13	0.00	
1	0290849	11	13	69DEVL	8/9/2011	SP10090719		13D	0.00	0.00	5.50	0.00	
1	0290850	11	13	6111	8/9/2011	SP10090719		.COMPRAS	0.00	0.00	2527.91	0.00	
1	0290850	11	13	6111	8/9/2011	SP10090719		40T	0.00	0.00	6.32	0.00	
1	0290850	11	13	6111	8/9/2011	SP10090719		13D	0.00	0.00	13.75	0.00	
1	0290851	11	70	6123	8/9/2011	SP10090719		40F	0.00	0.00	6.09	0.00	
1	0290851	11	70	6123	8/9/2011	SP10090719		13F	0.00	0.00	3.41	0.00	
1	0000011	UN	1	611TB	8/10/2011	SP10090719		13D	0.00	0.00	33.00	0.00	
1	0000011	UN	1	611TB	8/10/2011	SP10090719		13F	0.00	0.00	31.53	0.00	
1	0000500	1	13	211DEV	8/10/2011	SP50090309		40T	0.00	0.00	6.32	0.00	
1	0000500	1	13	211DEV	8/10/2011	SP50090309		13D	0.00	0.00	13.75	0.00	
1	0000500	1	13	211DEV	8/10/2011	SP50090309		.COMPRAS	0.00	0.00	2747.73	0.00	
1	0076274	5	81	611OTF	8/10/2011	SP10090719		DD	0.00	0.00	4.80	0.00	
1	0076275	5	70	699OTR	8/10/2011	SP10090719		DD	0.00	0.00	4.80	0.00	
1	0076317	5	81	6123	8/12/2011	SP10090719		DD	0.00	0.00	2.40	0.00	
1	0076329	5	1	6123	8/12/2011	SP10090719		DD	0.00	0.00	2.40	0.00	
1	0076331	5	70	6123	8/12/2011	SP10090719		DD	0.00	0.00	4.80	0.00	
1	0290852	11	13	699STA	8/15/2011	SP10090719		.COMPRAS	0.00	0.00	64.00	0.00	
1	0290852	11	13	699STA	8/15/2011	SP10090719		.DANF-E	0.00	0.00	113.40	0.00	
1	0290853	11	1	699STA	8/15/2011	SP10090719		40F	0.00	0.00	12.30	0.00	
1	0290853	11	1	699STA	8/15/2011	SP10090719		40T	0.00	0.00	4.80	0.00	
1	0290854	11	1	699STA	8/15/2011	SP10090719		40F	0.00	0.00	9.84	0.00	
1	0290854	11	1	699STA	8/15/2011	SP10090719		40T	0.00	0.00	6.40	0.00	
1	0071101	5	13	610110	8/20/2011	SP10090719		40T	0.00	0.00	1.60	0.00	
1	0071104	5	13	611SC	8/20/2011	SP10090719		40F	0.00	0.00	2.46	0.00	
1	0071105	5	13	611SC	8/20/2011	SP10090719		.COMPRAS.FISICO	0.00	0.00	2.50	0.00	
1	20161101	5	13	611JEC	8/20/2011	SP10090719		40F	0.00	0.00	2.46	0.00	
1	0000600	1	4	211DEV	8/23/2011	SP50090309		.COMPRAS	0.00	0.00	29.93	0.00	
1	0000600	1	4	211DEV	8/23/2011	SP50090309		40F	0.00	0.00	6.09	0.00	
1	0000601	1	1	211DEV	8/25/2011	SP50090309		DD	0.00	0.00	2.40	0.00	
1	0000601	1	1	211DEV	8/25/2011	SP50090309		13D	0.00	0.00	5.50	0.00	
