Estabelecimento	Série	Nota Fiscal	Emitente	Nat. Operação	Data NF	Item	Tributo	CST	Alíquota	Base de Cálculo	Valor Tributado	Valor Isento	Valor Outros	Valor Serviço Subcontratado	Valor Retenção Adicional	Valor Retenção Não Pago	Valor Serviço - Cond. Especial 15 anos	Valor Serviço - Cond. Especial 20 anos	Valor Serviço - Cond. Especial 25 anos	Valor Retenção Adicional Não Pago
1	12345	0000004	70	6123	8/1/2011	13C	ICMS	00	25.00	101.00	25.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13C	IPI	50	8.00	101.00	8.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13C	PIS	01	0.00	101.00	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13C	COFINS	01	0.00	101.00	7.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13F	ICMS	00	25.00	104.00	26.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13F	IPI	51	0.00	0.00	0.00	0.00	104.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13F	PIS	01	0.00	104.00	1.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13F	COFINS	01	0.00	104.00	7.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13FF	ICMS	00	25.00	13.13	3.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13FF	IPI	50	8.00	13.13	1.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13FF	PIS	01	0.00	13.13	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13FF	COFINS	01	0.00	13.13	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13T	ICMS	00	25.00	105.00	26.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13T	IPI	51	0.00	0.00	0.00	0.00	105.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13T	PIS	01	0.00	105.00	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	13T	COFINS	01	0.00	105.00	7.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	P2	ICMS	00	25.00	216.00	54.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	P2	IPI	51	0.00	0.00	0.00	0.00	216.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	P2	PIS	01	0.00	216.00	3.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	12345	0000004	70	6123	8/1/2011	P2	COFINS	01	0.00	216.00	16.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	.COMPRAS	ICMS	00	7.00	250.00	17.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	.COMPRAS	IPI	00	5.00	250.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	.COMPRAS	PIS	07	0.00	250.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	.COMPRAS	COFINS	07	0.00	250.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	40C	ICMS	00	7.00	300.00	21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	40C	IPI	01	0.00	300.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	40C	PIS	07	0.00	300.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	40C	COFINS	07	0.00	300.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	13D	ICMS	00	7.00	300.00	21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	13D	IPI	01	0.00	300.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	13D	PIS	07	0.00	300.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001001	13	211STO	8/1/2011	13D	COFINS	07	0.00	300.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	40F	ICMS	00	7.00	6000.00	420.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	40F	IPI	01	0.00	6000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	40F	PIS	07	0.00	6000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	40F	COFINS	07	0.00	6000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	13D	ICMS	00	7.00	250.00	17.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	13D	IPI	01	0.00	250.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	13D	PIS	01	1.65	250.00	4.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	13D	COFINS	01	7.60	250.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	DD	ICMS	00	7.00	240.00	16.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	DD	IPI	01	0.00	240.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	DD	PIS	07	0.00	240.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	DD	COFINS	07	0.00	240.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	.COMPRAS	ICMS	00	7.00	200.00	14.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	.COMPRAS	IPI	00	5.00	200.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	.COMPRAS	PIS	07	0.00	200.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001002	13	211STO	8/1/2011	.COMPRAS	COFINS	07	0.00	200.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001295	12704	111FAF	8/1/2011	.COMPRAS	ICMS	90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001295	12704	111FAF	8/1/2011	.COMPRAS	PIS	06	0.00	55.00	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001295	12704	111FAF	8/1/2011	.COMPRAS	COFINS	06	0.00	55.00	4.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001295	12704	111FAF	8/1/2011	.COMPRAS.LOTE	ICMS	90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001295	12704	111FAF	8/1/2011	.COMPRAS.LOTE	PIS	06	0.00	78.00	1.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001295	12704	111FAF	8/1/2011	.COMPRAS.LOTE	COFINS	06	0.00	78.00	5.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001296	12704	111FAF	8/1/2011	.COMPRAS	ICMS	90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001296	12704	111FAF	8/1/2011	.COMPRAS	PIS	06	0.00	40.00	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001296	12704	111FAF	8/1/2011	.COMPRAS	COFINS	06	0.00	40.00	3.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001296	12704	111FAF	8/1/2011	.COMPRAS.LOTE	ICMS	90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	1	0001296	12704	111FAF	8/1/2011	.COMPRAS.LOTE	PIS	06	0.00	60.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
