Estabelecimento	Número do Documento	Série	Participante	Nat. Operação	Data Documento	Item	Seq. Item	Cod. Modelo Ult. Entr.	Num. Doc Ult. Entr.	Série Ult. Entr.	Data Ult. Entr.	Participante Ult. Entr.	Qtd Ult. Entr	Vlr Unit. Ult. Entr	Vlr Unit. BC ST	Chave NFE Ult. Entr.	Num. Item Ult. Entr.	Vlr Unit. BC ICMS Ult. Entr.	Aliq. ICMS Ult. Entr.	Vlr Lim. BC Ult. Entr.	Vlr Unit. ICMS Ult. Entr.	Aliq. ST Ult. Entr.	Vlr Unit. Ressarcto	Cod. Responsável Ret.	Cod. Motivo Ressarcto	Chave NFE Ret.	Participante NFE Ret.	Série NFE Ret.	Num. NFE Ret.	Item NFE Ret.	Cód. Docum. Arrecad.	Num. Docum. Arrecad.
1	0000008	UN	12704	59932	8/2/2011	.COMPRAS	10	01	0001001	1	8/1/2011	13	10.00	25.00	25.00		10	25.00	7.00	25.00	1.75	17.00	2.50	1	1						1	
1	0000008	UN	12704	59932	8/2/2011	.COMPRAS	10	01	0001002	1	8/1/2011	13	2.00	100.00	100.00		40	100.00	7.00	100.00	7.00	17.00	10.00	1	1						1	
1	0076196	5	70	6123	8/3/2011	13D	40	01	0001002	1	8/1/2011	13	10.00	25.00	25.00		20	25.00	7.00	25.00	1.75	18.00	2.75	1	1						1	
1	0290847	11	4	611STA	8/9/2011	.COMPRAS	10	01	0003001	1	8/9/2011	4	10.00	200.00	262.50		10	210.00	7.00	210.00	14.70	17.00	29.93	1	1						1	
1	0290847	11	4	611STA	8/9/2011	40F	20	01	0003001	1	8/9/2011	4	20.00	32.90	41.13		30	32.90	7.00	32.90	2.30	13.00	3.04	1	1						1	
1	0290848	11	1	611SUB	8/9/2011	DD	10	01	0001002	1	8/1/2011	13	10.00	24.00	24.00		30	24.00	7.00	24.00	1.68	17.00	2.40	1	1						1	
1	0290848	11	1	611SUB	8/9/2011	13D	20	01	0001002	1	8/1/2011	13	10.00	25.00	25.00		20	25.00	7.00	25.00	1.75	18.00	2.75	1	1						1	
1	0290849	11	13	69DEVL	8/9/2011	40F	10	01	0003001	1	8/9/2011	4	20.00	32.90	41.13		30	32.90	7.00	32.90	2.30	13.00	3.04	1	1						1	
1	0290849	11	13	69DEVL	8/9/2011	13D	20	01	0001002	1	8/1/2011	13	10.00	25.00	25.00		20	25.00	7.00	25.00	1.75	18.00	2.75	1	1						1	
1	0290850	11	13	611ST	8/9/2011	40T	10	01	0004001	1	8/9/2011	13	30.00	2.69	3.36	35110861101895000498550010000040013212312111	20	2.69	7.00	2.69	0.19	15.00	0.32	1	1						1	
1	0290850	11	13	611ST	8/9/2011	13D	20	01	0001002	1	8/1/2011	13	10.00	25.00	25.00		20	25.00	7.00	25.00	1.75	18.00	2.75	1	1						1	
1	0290850	11	13	6111	8/9/2011	.COMPRAS	30	01	0001003	1	8/5/2011	1438010070113	1.00	30.00	30.00		10	30.00	7.00	30.00	2.10	17.00	3.00	1	1						1	
1	0290850	11	13	6111	8/9/2011	.COMPRAS	30	01	0003001	1	8/9/2011	4	10.00	200.00	262.50		10	210.00	7.00	210.00	14.70	17.00	29.93	1	1						1	
1	0290851	11	70	6123	8/9/2011	40F	10	01	0003001	1	8/9/2011	4	20.00	32.90	41.13		30	32.90	7.00	32.90	2.30	13.00	3.04	1	1						1	
1	0290851	11	70	6123	8/9/2011	13F	20	01	0003001	1	8/9/2011	4	5.00	65.00	81.25		20	65.00	7.00	65.00	4.55	7.00	1.14	1	1						1	
1	0000011	UN	1	611TB	8/10/2011	13D	10	01	0001001	1	8/1/2011	13	1.00	300.00	300.00		30	300.00	7.00	300.00	21.00	18.00	33.00	1	1						1	
