Estabelecimento	Período	Indicador Tipo de Apuração	Nat. Operação	Tipo Operação	Valor Contábil	Base de cálculo	Imposto Tributado	Isento/Não Tributado	Outros
1	Aug-11	0	211STO	0	24909.19	18950.00	1326.50	0.00	0.00
1	Aug-11	0	210206	1	11413.26	0.00	0.00	11413.26	0.00
1	Aug-11	0	211ST	0	4303.65	3463.70	242.46	0.00	0.00
1	Aug-11	0	2STAOU	0	4177.12	0.00	0.00	0.00	3269.70
1	Aug-11	0	3111-R	0	33.06	0.00	0.00	0.00	33.06
1	Aug-11	0	51107	1	5000.00	5000.00	850.00	0.00	0.00
1	Aug-11	0	11111	0	5029917.39	5028492.80	605094.57	0.00	0.00
1	Aug-11	0	1112	0	500.00	500.00	85.00	0.00	0.00
1	Aug-11	0	111A	0	101018.45	101018.45	17173.14	0.00	0.00
1	Aug-11	0	1352	0	300.00	300.00	17.00	0.00	0.00
1	Aug-11	0	19933	0	50.00	0.00	0.00	0.00	50.00
1	Aug-11	0	2322	0	588.69	0.00	0.00	588.69	0.00
1	Aug-11	0	511EFF	1	0.00	0.00	0.00	0.00	0.00
1	Aug-11	0	51DFAR	1	15.00	15.00	2.55	0.00	0.00
1	Aug-11	0	53134	1	500.00	500.00	85.00	0.00	0.00
1	Aug-11	0	111AGR	0	52.50	52.50	8.93	0.00	0.00
1	Aug-11	0	111EFF	0	132311.34	0.00	0.00	0.00	0.00
1	Aug-11	0	111EFR	0	5877.91	117519.34	19978.29	0.00	0.00
1	Aug-11	0	111FAF	0	18216.10	0.00	0.00	0.00	0.00
1	Aug-11	0	111FAR	0	543.53	13170.60	2239.00	0.00	0.00
1	Aug-11	0	111MRI	0	2.10	0.00	0.00	0.00	2.00
1	Aug-11	0	11EFFR	0	0.00	0.00	0.00	0.00	0.00
1	Aug-11	0	11FAFR	0	0.00	0.00	0.00	0.00	0.00
1	Aug-11	0	19401	0	247.00	247.00	41.99	0.00	0.00
1	Aug-11	0	19402	0	500.00	500.00	85.00	0.00	0.00
1	Aug-11	0	19932	0	25.00	0.00	0.00	0.00	25.00
1	Aug-11	0	199999	0	105.00	100.00	17.00	0.00	0.00
1	Aug-11	0	199RET	0	262.50	250.00	42.50	0.00	0.00
1	Aug-11	0	210201	1	123004.74	0.00	0.00	123004.74	0.00
1	Aug-11	0	210202	1	901659.97	0.00	0.00	901659.97	0.00
1	Aug-11	0	210204	1	25692.39	0.00	0.00	25692.39	0.00
1	Aug-11	0	211BRM	0	75000.00	0.00	0.00	0.00	75000.00
1	Aug-11	0	211DEV	0	6426.81	4086.70	286.07	1050.00	0.00
1	Aug-11	0	211MRI	0	18200.00	0.00	0.00	0.00	18200.00
1	Aug-11	0	21STOU	0	3451.88	0.00	0.00	0.00	2630.00
1	Aug-11	0	220202	0	4020.00	0.00	0.00	4020.00	0.00
1	Aug-11	0	2311	0	15900.00	0.00	0.00	15900.00	0.00
1	Aug-11	0	3111	0	1079.20	884.59	150.38	0.00	0.00
1	Aug-11	0	59932	1	125.00	0.00	0.00	0.00	125.00
1	Aug-11	0	599999	1	157.50	150.00	25.50	0.00	0.00
1	Aug-11	0	6101	1	260.95	260.95	18.26	0.00	0.00
1	Aug-11	0	610110	1	1100.00	1000.00	250.00	0.00	0.00
1	Aug-11	0	611-IE	1	102426.11	26871.86	2989.80	72772.50	2700.19
1	Aug-11	0	6111	1	1878.16	0.00	0.00	1788.72	0.00
1	Aug-11	0	611EFF	1	0.00	0.00	0.00	0.00	0.00
1	Aug-11	0	611FAF	1	0.00	0.00	0.00	0.00	0.00
1	Aug-11	0	611JEC	1	12820.00	11000.00	2620.00	0.00	0.00
1	Aug-11	0	611OTF	1	90919.84	89169.61	22292.41	0.00	0.00
1	Aug-11	0	611RFA	1	109.08	101.00	25.25	0.00	0.00
1	Aug-11	0	611SC	1	4303.93	3918.45	470.21	0.00	0.00
1	Aug-11	0	611ST	1	5874.62	4643.95	325.06	0.00	0.00
1	Aug-11	0	611STA	1	5900.00	5900.00	413.00	0.00	0.00
1	Aug-11	0	611SUB	1	1298.16	1126.70	78.86	0.00	0.00
1	Aug-11	0	611TB	1	3908.76	3786.76	946.69	0.00	0.00
1	Aug-11	0	612-DE	1	16500.00	0.00	0.00	16500.00	0.00
1	Aug-11	0	6123	1	138568144.69	138559902.63	34639553.15	0.00	0.00
1	Aug-11	0	6127	1	6300.00	6000.00	1500.00	0.00	0.00
1	Aug-11	0	6128	1	11000.00	10000.00	2500.00	0.00	0.00
1	Aug-11	0	625101	1	2500.00	2500.00	625.00	0.00	0.00
1	Aug-11	0	699BRM	1	2184.38	2184.38	546.10	0.00	0.00
1	Aug-11	0	699BRT	1	34.64	34.64	8.66	0.00	0.00
1	Aug-11	0	699EFR	1	46632454.14	0.00	0.00	0.00	46632454.14
1	Aug-11	0	699FAR	1	32857.86	0.00	0.00	0.00	32857.86
1	Aug-11	0	699OTR	1	0.00	0.00	0.00	0.00	0.00
1	Aug-11	0	699STA	1	3081.24	0.00	0.00	0.00	3028.60
1	Aug-11	0	69DEVL	1	140.00	0.00	0.00	140.00	0.00
1	Aug-11	0	7111	1	1805.80	0.00	0.00	1805.80	0.00
