Estabelecimento	Data Inicial Apuração	Data Final Apuração	Cód. Bem	Data Movto	Tipo Movto	Valor ICMS Operação Própria	Valor ICMS Subs Tributária	Valor ICMS Frete Conhec. Trans.	Valor ICMS Diferencial Aliq	Número Parcela	Valor Parcela ICMS
1	8/1/2011	8/31/2011	1	20110801	SI	480.00	0.00	0.00	0.00	32	10.00
1	8/1/2011	8/31/2011	2	20110801	SI	480.00	0.00	0.00	0.00	26	10.00
1	8/1/2011	8/31/2011	3	20110801	SI	480.00	0.00	0.00	0.00	20	10.00
1	8/1/2011	8/31/2011	4	20110801	SI	480.00	0.00	0.00	0.00	14	10.00
1	8/1/2011	8/31/2011	5	20110801	SI	480.00	0.00	0.00	0.00	8	10.00
1	8/1/2011	8/31/2011	6	20110801	SI	480.00	0.00	0.00	0.00	2	10.00
1	8/1/2011	8/31/2011	41	20110801	SI	100.00	0.00	0.00	0.00	8	2.08
1	8/1/2011	8/31/2011	42	20110801	SI	360.00	0.00	0.00	0.00	8	10.00
1	8/1/2011	8/31/2011	43	20110801	SI	360.00	0.00	0.00	0.00	8	10.00
1	8/1/2011	8/31/2011	48	20110801	SI	480.00	0.00	0.00	0.00	4	7.00
1	8/1/2011	8/31/2011	50	20110801	SI	480.00	0.00	0.00	0.00	5	10.00
1	8/1/2011	8/31/2011	51	20110801	SI	900.00	0.00	0.00	0.00	4	18.75
1	8/1/2011	8/31/2011	54	20110801	SI	23935.56	0.00	0.00	9973.15	32	694.87
1	8/1/2011	8/31/2011	56	20110801	SI	2426.67	0.00	0.00	1213.33	25	46.54
1	8/1/2011	8/31/2011	57	20110801	SI	960.00	0.00	0.00	0.00	25	20.00
