Estabelecimento	Data Inventário	Motivo Inventário	Item	Participante	Indicador de propriedade/posse	CST ICMS	Origem	Base de cálculo ICMS	Valor ICMS
1	5/31/2011	05	21.21.101-0		0	99	0	151.44	0.00
1	5/31/2011	05	21.21.102-8		0	99	0	163.28	0.00
1	5/31/2011	05	21.21.103-6		0	99	0	195.60	0.00
1	5/31/2011	05	21.21.112-5		0	99	0	176.79	0.00
1	5/31/2011	05	21.21.113-3		0	99	0	210.31	0.00
1	5/31/2011	05	21.21.201-6		0	99	0	159.44	0.00
1	5/31/2011	05	21.21.202-4		0	99	0	173.21	0.00
1	5/31/2011	05	21.21.203-2		0	99	0	215.14	0.00
1	5/31/2011	05	21.21.212-1		0	99	0	189.49	0.00
1	5/31/2011	05	21.21.213-0		0	99	0	228.11	0.00
1	5/31/2011	05	21.21.401-9		0	99	0	160.17	0.00
1	5/31/2011	05	21.21.402-7		0	99	0	174.61	0.00
1	5/31/2011	05	21.21.403-5		0	99	0	215.18	0.00
1	5/31/2011	05	21.21.412-4		0	99	0	197.38	0.00
1	5/31/2011	05	21.21.413-2		0	99	0	232.77	0.00
1	5/31/2011	05	21.22.101-5		0	99	0	154.88	0.00
1	5/31/2011	05	21.22.102-3		0	99	0	168.01	0.00
1	5/31/2011	05	21.22.103-1		0	99	0	204.27	0.00
1	5/31/2011	05	21.22.112-0		0	99	0	182.75	0.00
1	5/31/2011	05	21.22.113-9		0	99	0	218.44	0.00
1	5/31/2011	05	21.22.201-1		0	99	0	164.19	0.00
1	5/31/2011	05	21.22.201-1	19109	1	99	0	164.19	0.00
1	5/31/2011	05	21.22.202-0		0	99	0	179.64	0.00
1	5/31/2011	05	21.22.203-8		0	99	0	220.44	0.00
1	5/31/2011	05	21.22.212-7		0	99	0	196.10	0.00
1	5/31/2011	05	21.22.213-5		0	99	0	237.37	0.00
1	5/31/2011	05	21.22.401-4		0	99	0	164.84	0.00
1	5/31/2011	05	21.22.402-2		0	99	0	178.56	0.00
1	5/31/2011	05	21.22.403-0		0	99	0	217.42	0.00
1	5/31/2011	05	21.22.412-0		0	99	0	198.53	0.00
1	5/31/2011	05	21.22.413-8		0	99	0	232.49	0.00
1	5/31/2011	05	21.31.101-4		0	99	0	130.92	0.00
1	5/31/2011	05	21.31.102-2		0	99	0	131.57	0.00
1	5/31/2011	05	21.31.103-0		0	99	0	147.96	0.00
1	5/31/2011	05	21.31.104-9		0	99	0	154.73	0.00
1	5/31/2011	05	21.31.105-7		0	99	0	164.65	0.00
1	5/31/2011	05	21.31.106-5		0	99	0	160.42	0.00
1	5/31/2011	05	21.31.201-0		0	99	0	150.76	0.00
1	5/31/2011	05	21.31.202-9		0	99	0	150.34	0.00
1	5/31/2011	05	21.31.203-7		0	99	0	165.22	0.00
1	5/31/2011	05	21.31.204-5		0	99	0	173.04	0.00
1	5/31/2011	05	21.31.205-3		0	99	0	175.64	0.00
1	5/31/2011	05	21.31.206-1		0	99	0	188.25	0.00
1	5/31/2011	05	21.31.401-3		0	99	0	147.47	0.00
1	5/31/2011	05	21.31.402-1		0	99	0	148.10	0.00
1	5/31/2011	05	21.31.403-0		0	99	0	157.69	0.00
1	5/31/2011	05	21.31.404-8		0	99	0	160.84	0.00
1	5/31/2011	05	21.31.405-6		0	99	0	178.83	0.00
1	5/31/2011	05	21.31.406-4		0	99	0	174.93	0.00
1	5/31/2011	05	21.32.101-0		0	99	0	135.50	0.00
1	5/31/2011	05	21.32.102-8		0	99	0	133.49	0.00
1	5/31/2011	05	21.32.103-6		0	99	0	151.03	0.00
1	5/31/2011	05	21.32.104-4		0	99	0	149.72	0.00
1	5/31/2011	05	21.32.105-2		0	99	0	168.47	0.00
1	5/31/2011	05	21.32.106-0		0	99	0	167.49	0.00
1	5/31/2011	05	21.32.201-6		0	99	0	151.34	0.00
1	5/31/2011	05	21.32.202-4		0	99	0	150.97	0.00
1	5/31/2011	05	21.32.203-2		0	99	0	160.01	0.00
1	5/31/2011	05	21.32.204-0		0	99	0	160.29	0.00
1	5/31/2011	05	21.32.205-9		0	99	0	193.79	0.00
1	5/31/2011	05	21.32.206-7		0	99	0	180.05	0.00
1	5/31/2011	05	21.32.401-9		0	99	0	152.54	0.00
1	5/31/2011	05	21.32.401-9	19109	1	99	0	152.54	0.00
1	5/31/2011	05	21.32.402-7		0	99	0	153.64	0.00
1	5/31/2011	05	21.32.403-5		0	99	0	168.55	0.00
