MEN702DC                              3.00.00.001    menu_uit                      TODAY  00:00:00
BTB906ZA                              2.00.00.011    men702dc                      TODAY  00:00:00
MEN901ZA                              2.00.00.006    men702dc                      TODAY  00:00:00
UT-TRDFR                              3.00.00.001    men702dc                      TODAY  00:00:00
OF0530                                2.00.00.035    men702dc                      TODAY  00:00:00
BROKER                                3.00.00.001    of0530                        TODAY  00:00:00
BOFN068                               2.00.00.007    of0530                        TODAY  00:00:00
BTBSECURITY                           3.00.00.001    bofn068                       TODAY  00:00:00
MEN901ZA                              2.00.00.006    btbsecur                      TODAY  00:00:00
BTB918ZB                              2.00.00.002    bofn068                       TODAY  00:00:00
UT-XMLPRS                             3.00.00.001    bofn068                       TODAY  00:00:00
BOFN088                               2.00.00.005    of0530                        TODAY  00:00:00
BTB918ZB                              2.00.00.002    bofn088                       TODAY  00:00:00
BOFN116                               2.00.00.005    of0530                        TODAY  00:00:00
BTB918ZB                              2.00.00.002    bofn116                       TODAY  00:00:00
BTB970AA                              2.00.00.004    of0530                        TODAY  00:00:00
BTB432ZG                              2.00.01.008    btb970aa                      TODAY  00:00:00
UT-VFREG                              3.00.00.001    of0530                        TODAY  00:00:00
UT-VFVLD                              3.00.00.001    of0530                        TODAY  00:00:00
UT-VFMOD                              2.00.00.003    of0530                        TODAY  00:00:00
UT-VFUSR                              3.00.00.001    of0530                        TODAY  00:00:00
MEN901ZA                              2.00.00.006    of0530                        TODAY  00:00:00
BTB918ZB                              2.00.00.002    of0530                        TODAY  00:00:00
UT-STYLE                              3.00.00.001    of0530                        TODAY  00:00:00
UT-EXTRA                              2.00.00.002    ut-style                      TODAY  00:00:00
BTB920AA                              2.00.00.012    of0530                        TODAY  00:00:00
UT-TRCAMPOS                           2.00.00.009    of0530                        TODAY  00:00:00
UT-TRCAMPOS                           2.00.00.009    of0530                        TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530                        TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530                        TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530                        TODAY  00:00:00
OF0530RP                              2.00.00.051    of0530                        TODAY  00:00:00
BTB920AA                              2.00.00.012    of0530rp                      TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530rp                      TODAY  00:00:00
UT-ACOMP                              2.00.00.003    of0530rp                      TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530rp                      TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530rp                      TODAY  00:00:00
OF0530E                               2.00.00.029    of0530rp                      TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530e                       TODAY  00:00:00
OF0530D                               2.00.00.046    of0530rp                      TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530d                       TODAY  00:00:00
OF0530G                               2.00.00.035    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g                       TODAY  00:00:00
OF0530G1                              2.00.00.029    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g1                      TODAY  00:00:00
OF0530F                               2.00.00.062    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530f                       TODAY  00:00:00
OF0530H                               2.00.00.023    of0530f                       TODAY  00:00:00
OF0530H                               2.00.00.023    of0530f                       TODAY  00:00:00
OF0530H                               2.00.00.023    of0530f                       TODAY  00:00:00
OF0530G                               2.00.00.035    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g                       TODAY  00:00:00
OF0530G1                              2.00.00.029    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g1                      TODAY  00:00:00
OF0530G                               2.00.00.035    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g                       TODAY  00:00:00
OF0530G1                              2.00.00.029    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g1                      TODAY  00:00:00
OF0530G                               2.00.00.035    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g                       TODAY  00:00:00
OF0530G1                              2.00.00.029    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g1                      TODAY  00:00:00
OF0530G                               2.00.00.035    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g                       TODAY  00:00:00
OF0530G1                              2.00.00.029    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g1                      TODAY  00:00:00
OF0530G                               2.00.00.035    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g                       TODAY  00:00:00
OF0530G1                              2.00.00.029    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g1                      TODAY  00:00:00
OF0530G                               2.00.00.035    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g                       TODAY  00:00:00
OF0530G1                              2.00.00.029    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g1                      TODAY  00:00:00
OF0530G                               2.00.00.035    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g                       TODAY  00:00:00
OF0530G1                              2.00.00.029    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g1                      TODAY  00:00:00
OF0530G                               2.00.00.035    of0530d                       TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0530g                       TODAY  00:00:00
