MEN702DC                              3.00.00.001    menu_uit                      TODAY  00:00:00
BTB906ZA                              2.00.00.011    men702dc                      TODAY  00:00:00
MEN901ZA                              2.00.00.006    men702dc                      TODAY  00:00:00
UT-TRDFR                              3.00.00.001    men702dc                      TODAY  00:00:00
OF0540                                2.00.00.027    men702dc                      TODAY  00:00:00
BROKER                                3.00.00.001    of0540                        TODAY  00:00:00
BOFN068                               2.00.00.007    of0540                        TODAY  00:00:00
BTBSECURITY                           3.00.00.001    bofn068                       TODAY  00:00:00
MEN901ZA                              2.00.00.006    btbsecur                      TODAY  00:00:00
BTB918ZB                              2.00.00.002    bofn068                       TODAY  00:00:00
UT-XMLPRS                             3.00.00.001    bofn068                       TODAY  00:00:00
BOFN088                               2.00.00.005    of0540                        TODAY  00:00:00
BTB918ZB                              2.00.00.002    bofn088                       TODAY  00:00:00
BOFN116                               2.00.00.005    of0540                        TODAY  00:00:00
BTB918ZB                              2.00.00.002    bofn116                       TODAY  00:00:00
BTB970AA                              2.00.00.004    of0540                        TODAY  00:00:00
BTB432ZG                              2.00.01.008    btb970aa                      TODAY  00:00:00
UT-VFREG                              3.00.00.001    of0540                        TODAY  00:00:00
UT-VFVLD                              3.00.00.001    of0540                        TODAY  00:00:00
UT-VFMOD                              2.00.00.003    of0540                        TODAY  00:00:00
TWFND116                              3.00.00.001    ut-vfmod                      TODAY  00:00:00
UT-VFUSR                              3.00.00.001    of0540                        TODAY  00:00:00
MEN901ZA                              2.00.00.006    of0540                        TODAY  00:00:00
BTB918ZB                              2.00.00.002    of0540                        TODAY  00:00:00
UT-STYLE                              3.00.00.001    of0540                        TODAY  00:00:00
UT-EXTRA                              2.00.00.002    ut-style                      TODAY  00:00:00
BTB920AA                              2.00.00.012    of0540                        TODAY  00:00:00
UT-TRCAMPOS                           2.00.00.009    of0540                        TODAY  00:00:00
UT-TRCAMPOS                           2.00.00.009    of0540                        TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0540                        TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0540                        TODAY  00:00:00
UT-TRFRRP                             2.00.00.008    of0540                        TODAY  00:00:00
UT-VLARQ                              3.00.00.001    of0540                        TODAY  00:00:00
OF0540RP                              2.00.00.033    of0540                        TODAY  00:00:00
BTB920AA                              2.00.00.012    of0540rp                      TODAY  00:00:00
UT-ACOMP                              2.00.00.003    of0540rp                      TODAY  00:00:00
OF0540E                               2.00.00.023    of0540rp                      TODAY  00:00:00
OF0540D                               2.00.00.038    of0540rp                      TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
OF0540F                               2.00.00.054    of0540d                       TODAY  00:00:00
OF0540H                               2.00.00.016    of0540f                       TODAY  00:00:00
